Time,O3_flag,SO2_flag,NO2_flag,NO_flag,CO_flag,PM10_flag,PM2.5_flag,WDir_Avg,Rain_Tot,WDir_SD,O3,SO2,NO2,NO,CO,PM10,PM2.5,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,Press_Avg,Rad_Avg,City
2015-05-01,,,,,,,,,0.0,,,,,,,,,,,,,,,Saltillo
2015-05-02,,,,,,,,,0.0,,,,,,,,,,,,,,,Saltillo
2015-05-03,,,,,,,,,0.0,,,,,,,,,,,,,,,Saltillo
2015-05-04,,,,,,,,,0.0,,,,,,,,,,,,,,,Saltillo
2015-05-05,,,,,,,,,0.0,,,,,,,,,,,,,,,Saltillo
2015-05-06,,,,,,,,,0.0,,,,,,,,,,,,,,,Saltillo
2015-05-07,,,,,,,,,0.0,23.282412234226168,,,,,,,,,,,,822.976653696498,,Saltillo
2015-05-08,,,,,,,,,0.0,,,,,,,,,,,,,823.8333333333334,,Saltillo
2015-05-09,,,,,,,,,0.0,,,,,,,,,,,,,824.5,,Saltillo
2015-05-10,,,,,,,,,0.0,,,,,,,,,,,,,824.7916666666666,,Saltillo
2015-05-11,,,,,,,,,0.0,,,,,,,,,,,,,825.8333333333334,,Saltillo
2015-05-12,,,,,,,,,0.0,,,,,,,,,,,,,827.5,,Saltillo
2015-05-13,,,,,,,,,0.0,,,,,,,,,,,,,827.6666666666666,,Saltillo
2015-05-14,,,,,,,,38.0,3.4000000000000004,9.962380697872128,,,,,,,,17.410075,77.91092499999999,2.36229875,,826.7916666666666,45.060907944514504,Saltillo
2015-05-15,,,,,,,,224.0,2.4,9.751968282092292,,,,,,,,20.42813215859031,55.81837004405286,2.9056951541850218,,826.0,255.1076651982379,Saltillo
2015-05-16,,,,,,,,214.0,0.0,10.187432648255953,,,,,,,,22.49261111111111,39.429298611111115,3.5545715277777776,,825.0833333333334,356.90791666666667,Saltillo
2015-05-17,,,,,,,,196.0,0.0,11.815180867546244,,,,,,,,22.470715277777778,42.88950694444444,2.6435680555555554,,824.4583333333334,350.721875,Saltillo
2015-05-18,,,,,,,,42.0,0.0,12.463722479754734,,,,,,,,21.543381944444445,66.52390277777778,2.6131305555555553,,822.75,284.62145833333335,Saltillo
2015-05-19,,,,,,,,168.0,9.1,10.093876093555288,,,,,,,,21.52746527777778,65.199,3.7700409722222226,,822.3333333333334,215.80395833333336,Saltillo
2015-05-20,,,,,,,,170.0,1.6,9.119416810489959,,,,,,,,21.89263888888889,54.061375000000005,4.684454166666667,,823.875,275.9579861111111,Saltillo
2015-05-21,,,,,,,,38.0,0.0,12.097938568349809,,,,,,,,18.612916666666667,82.76551388888889,2.4307375,,824.0833333333334,157.79993055555556,Saltillo
2015-05-22,,,,,,,,218.0,7.800000000000001,7.425780519852722,,,,,,,,19.87807638888889,61.486854166666674,4.243734722222222,,824.125,264.72548611111114,Saltillo
2015-05-23,,,,,,,,207.0,7.3,7.905745377258296,,,,,,,,20.07315277777778,60.07277777777778,4.0370027777777775,,825.125,319.3672222222222,Saltillo
2015-05-24,,,,,,,,184.0,2.3,9.866442384659845,,,,,,,,20.277284722222223,60.024208333333334,2.861560416666667,,826.9583333333334,266.07993055555556,Saltillo
2015-05-25,,,,,,,,162.0,0.0,8.34467124758893,,,,,,,,22.4294375,44.26799305555556,4.317227083333333,,827.4166666666666,361.81097222222223,Saltillo
2015-05-26,,,,,,,,208.0,2.7,12.158826211429194,,,,,,,,20.77470138888889,59.74164583333334,2.4195201388888887,,827.9166666666666,282.70958333333334,Saltillo
2015-05-27,,,,,,,,32.0,0.0,11.930235800554856,,,,,,,,21.664020833333332,64.52345833333334,3.2697749999999997,,827.6666666666666,278.5892361111111,Saltillo
2015-05-28,,,,,,,,130.0,2.8000000000000003,12.331031305467766,,,,,,,,20.81908333333333,60.430034722222224,3.136792361111111,,825.75,221.9686111111111,Saltillo
2015-05-29,,,,,,,,23.0,0.0,11.51111550027983,,,,,,,,20.780215277777778,60.336083333333335,2.923016666666667,,825.6666666666666,345.52694444444444,Saltillo
2015-05-30,,,,,,,,32.0,3.8,11.402759884512113,,,,,,,,19.165875,65.22728472222222,3.3186826388888893,,825.25,290.06597222222223,Saltillo
2015-05-31,,,,,,,,12.0,0.0,11.053120102136194,,,,,,,,16.507631944444444,76.13455555555555,2.5781993055555557,,824.9166666666666,323.17534722222223,Saltillo
2015-06-01,OS,OS,OS,OS,OS,OS,OS,11.0,0.0,10.088206292011387,,,,,,,,17.88304861111111,58.78502777777778,2.7314618055555555,,825.125,363.8301388888889,Saltillo
2015-06-02,OS,OS,OS,OS,OS,OS,OS,36.0,0.0,9.779453836439066,63.80146025878003,,11.69735674676525,,,,,19.332875,58.798493055555554,2.976453472222222,,825.2916666666666,360.03472222222223,Saltillo
2015-06-03,OK,OR,OK,BDL,OR,OS,OS,176.0,0.0,9.029829469824428,46.28140997830803,,8.952841648590022,,,,,20.810805555555557,49.101576388888894,3.319284027777778,,823.4166666666666,358.9290277777778,Saltillo
2015-06-04,OS,OS,OS,OS,OS,OS,OS,33.0,0.0,8.370480082738274,35.18214168039539,,7.677677100494234,,,,,20.5095625,53.939611111111105,3.297535416666667,,823.125,356.99,Saltillo
2015-06-05,OS,OS,OS,OS,OS,OS,OS,25.0,0.0,8.412307564576444,,,,,,,,20.07232638888889,67.739875,2.991324305555555,,824.25,303.9559722222222,Saltillo
2015-06-06,OS,OS,OS,OS,OS,OS,OS,29.0,0.0,11.347517340930828,,,,,,,,20.195090277777776,73.2623263888889,2.5946833333333332,,824.75,327.6564583333333,Saltillo
2015-06-07,OS,OS,OS,OS,OS,OS,OS,31.0,0.0,11.505877676594501,,,,,,,,20.495305555555557,76.37540972222222,2.2989041666666665,,824.3333333333334,244.33333333333334,Saltillo
2015-06-08,OS,OS,OS,OS,OS,OS,OS,35.0,0.0,11.747829597005802,,,,,,,,20.68273676880223,72.3734401114206,2.6876852367688024,,822.9583333333334,318.48196378830085,Saltillo
2015-06-09,OS,OS,OS,OS,OS,OS,OS,33.0,0.0,10.190529037653594,,,,,,,,19.90172916666667,70.85408333333334,2.5438375,,823.0833333333334,310.86104166666667,Saltillo
2015-06-10,OS,OS,OS,OS,OS,OS,OS,35.0,0.0,11.01319130916253,,,,,,,,21.08886111111111,65.48188888888889,2.64049375,,823.625,332.1850694444444,Saltillo
2015-06-11,OS,OS,OS,OS,OS,OS,OS,28.0,0.0,8.808262866042277,,,,,,,,22.827416666666668,56.55005555555556,3.217103472222222,,823.7916666666666,352.74006944444443,Saltillo
2015-06-12,OK,OS,OK,OS,OK,OS,OS,36.0,0.0,9.81952570211969,51.61785359801488,0.7129528535980149,9.65241935483871,,0.06609665427509294,,,23.325291666666665,54.203270833333335,2.9909680555555553,,825.7916666666666,315.56083333333333,Saltillo
2015-06-13,OK,OK,OK,BDL,OK,OS,OS,356.0,0.0,11.248728592616448,40.2926171593367,1.064333093006489,8.352494592645998,,0.10912761355443404,,,22.590652777777777,61.37694444444445,2.878910416666667,,825.3333333333334,349.4739583333333,Saltillo
2015-06-14,OK,BDL,OK,BDL,OK,OS,OS,20.0,0.0,11.278718038984609,38.842887120115776,0.9925325615050652,6.370043415340087,,0.06771345875542692,,,21.871388888888887,64.74274305555556,2.7068652777777777,,824.75,336.901875,Saltillo
2015-06-15,OK,BDL,OK,BDL,OK,OS,OS,23.0,0.0,12.074568927165014,30.814333093006493,1.0707714491708724,8.212804614275415,1.335861571737563,0.09588320115356885,,,20.742104166666667,69.64057638888889,2.776001388888889,,825.5416666666666,280.143125,Saltillo
2015-06-16,OK,BDL,OK,BDL,BDL,OS,OS,348.0,0.5,8.849647232184957,28.70260994953136,0.9967411679884643,7.386870944484499,0.9097837058399423,,,,20.0245625,69.812,2.6126381944444446,,826.0,265.8543055555556,Saltillo
2015-06-17,OK,BDL,OK,BDL,OR,OS,OS,164.0,1.8,8.554940222125131,30.190296456977585,0.6859074475777296,6.94705712219812,,,,,20.115034722222223,72.0775,2.276067361111111,,824.6666666666666,157.61833333333334,Saltillo
2015-06-18,OK,BDL,OK,BDL,OK,OS,OS,210.0,34.1,10.283419364283077,63.91567387687188,0.6469384359400998,11.41206322795341,2.218818635607321,0.1824376039933444,,,18.17407638888889,89.00725,1.755836592178771,,822.7083333333334,103.35270833333333,Saltillo
2015-06-19,OK,BDL,OK,BDL,OK,OS,OS,32.0,0.0,10.983049623779104,24.87893217893218,0.6382323232323233,9.59142857142857,0.7283044733044732,0.10292207792207793,,,18.599875,81.95446527777777,2.087151388888889,,822.7083333333334,106.71409722222221,Saltillo
2015-06-20,OK,BDL,OK,OR,OR,OS,OS,204.0,11.4,9.79822190449712,31.343179190751446,,3.4973193641618496,,,,,20.832493055555556,65.50163888888889,2.9426125,,824.375,271.7420138888889,Saltillo
2015-06-21,OK,BDL,OK,BDL,OR,OS,OS,177.0,8.3,11.313468904609973,29.766227371469952,,5.399666908037654,,,,,19.71986111111111,75.9887638888889,2.46835625,,824.75,125.59749826268241,Saltillo
2015-06-22,OK,BDL,OK,BDL,OR,OS,OS,146.0,0.1,10.256818918722448,29.791582369942198,,6.438251445086705,,,,,19.823694444444445,75.81583333333333,2.8241319444444444,,824.9583333333334,136.91403752605976,Saltillo
2015-06-23,OK,BDL,OK,BDL,OR,OS,OS,44.0,0.1,14.061008310907559,26.99957369942197,,6.225354046242774,0.44146676300578036,,,,19.996944444444445,68.96920833333334,2.6758756944444446,,824.7916666666666,225.41208333333336,Saltillo
