O3,Rain_Tot
52.67316666666667,0.2
44.57420138888889,0.3
44.63125,0.1
48.07225694444445,0.2
45.812041666666666,0.7000000000000001
49.121090277777775,2.3
38.442125,15.8
45.39443055555556,8.5
43.06645138888889,0.1
42.8440625,10.2
32.44148611111111,3.2
36.39019444444444,1.2000000000000002
41.2050625,3.6
19.109270833333333,15.7
38.33725694444445,2.2
35.238729166666666,0.1
47.904465277777774,0.8
40.25185416666667,2.7
28.80428472222222,3.8
38.01149305555556,11.3
33.164145833333336,2.6
40.288243055555554,5.5
42.909333333333336,1.4
35.782520833333336,7.4
43.981625,21.6
43.22997216423104,0.3
37.51790277777778,0.3
35.121875,4.5
32.768819444444446,9.0
24.74651388888889,8.1
24.029611111111112,7.800000000000001
35.007083333333334,2.2
33.40092361111111,0.9
26.242395833333337,5.6000000000000005
38.20175694444444,11.0
33.601256944444444,0.9
20.20654861111111,6.5
23.703125,26.7
24.30340277777778,0.1
38.20926388888888,0.9
35.13959027777778,0.1
34.97728472222222,3.2
60.749,6.800000000000001
44.13373611111111,7.9
36.554402777777774,10.7
18.99336805555556,4.7
18.93221527777778,0.6000000000000001
23.778194444444445,1.4
29.56352777777778,0.6000000000000001
26.71140972222222,2.5
33.59127083333333,1.9
31.95534722222222,0.3
30.51480086893556,41.7
31.2826875,19.0
37.63666666666667,2.0
42.66342361111112,1.1
34.462409722222226,5.800000000000001
31.37092361111111,7.6
30.402270833333333,4.1000000000000005
26.88835416666667,0.5
33.72535416666667,11.1
33.16647916666667,5.9
30.418875,0.9
31.093493055555555,2.1
33.25427777777778,8.0
23.04182638888889,3.0
33.71615277777778,4.1000000000000005
29.162694444444444,2.0
35.870263888888886,0.1
22.325222222222223,10.8
17.497222222222224,2.8000000000000003
15.60669097222222,6.4
27.30856050069541,0.4
28.373631944444444,0.2
18.174041666666668,8.8
10.572917827298047,1.9
14.35184850590688,4.7
29.874208333333332,6.6
25.583901408450703,4.3
14.319409722222222,10.3
17.789777777777775,0.5
21.80946527777778,1.6
20.282835302293257,5.1
21.248860319666434,0.2
24.286708333333333,0.3
25.66252083333333,5.9
30.56284722222222,0.9
25.104875,0.1
25.9076875,11.8
26.71636805555556,8.3
47.33742477256823,0.6000000000000001
