Month,Day,PM2.5
9,23,17.21995038979447
9,24,16.810020862308765
9,25,12.829574319609211
9,26,13.278989473684211
9,27,16.597007194244604
9,28,19.05105555555556
9,29,28.888950276243094
10,1,20.87220291869353
10,2,18.62854907539118
10,3,17.620637845499648
10,4,11.69357601713062
10,5,12.166553222302678
10,6,13.800770833333331
10,7,7.3487263078089455
10,8,6.167718120805369
10,9,6.960553129548762
10,10,4.678225399495374
10,11,4.305268214571657
10,12,7.892808811959087
10,13,8.599718309859155
10,14,18.876507823613085
10,15,8.383261515601784
10,16,6.273097617217525
10,17,17.741588523442967
10,18,14.324295725297828
10,19,15.036472222222224
10,20,13.291917510853835
10,21,8.740969196093163
10,22,9.282312633832976
10,23,10.168622377622375
10,24,12.59
10,25,19.30791231732777
10,26,23.4727498121713
10,27,11.7565579984837
10,28,21.635720309205904
10,29,14.23599565532223
11,1,10.478442211055276
11,2,12.071391788448157
11,3,13.706604166666663
11,4,11.223881944444445
11,5,13.344971550497863
11,6,14.349465277777778
11,7,19.81088888888889
11,8,19.780875
11,9,22.29354006968641
11,10,20.212055555555555
11,11,21.44278472222222
11,12,14.413176638176637
11,13,13.247032122905027
11,14,9.44569264069264
11,15,12.006379310344828
11,16,10.1435754583921
11,17,13.80468595624559
11,18,18.730282404055032
11,19,24.122104166666663
11,20,25.112715277777777
11,21,28.32484027777777
11,22,14.213267776096822
12,1,9.30363978899774
12,2,11.67001390820584
12,3,13.344666188083274
12,4,10.32281027104137
12,5,13.819811715481173
12,6,8.317886710239652
12,7,6.60339546191248
12,8,7.197110125646711
12,9,9.115128740431455
12,10,11.945427350427352
12,11,8.6925
12,12,12.453488372093023
12,13,23.471722222222223
12,14,24.63334027777778
12,15,20.22097902097902
12,16,12.322805555555556
12,17,9.018670931058992
12,18,16.771508220157255
12,19,22.704013888888888
12,20,27.331569444444444
12,21,19.654606188466943
12,22,16.67395138888889
12,23,23.3995
12,24,18.936229166666667
12,25,19.961328671328676
12,26,4.87543062200957
12,27,5.75451968503937
12,28,7.4791254480286735
12,29,9.94347414420976
12,30,13.452037845705966
1,1,17.069215277777776
1,2,9.460063604240284
1,3,10.185754310344828
1,4,6.988622189992748
1,5,5.987872823618471
1,6,6.0395076923076925
1,7,6.009517638588912
1,8,6.539876989869755
1,9,10.491298042059464
1,10,7.389332855093256
1,11,8.457077592458303
1,12,8.49043600562588
1,13,9.09661733615222
1,14,7.158827838827838
1,15,9.35243105950653
1,16,12.818302446256483
1,17,16.727185892725938
1,18,15.658641063515509
1,19,19.085295755045237
1,20,27.00993031358885
1,21,22.494771609276174
1,22,12.857328966521107
1,23,11.50066091954023
1,24,9.649625176803394
1,25,15.453890832750176
1,26,11.951013513513514
1,27,11.881262057877814
1,28,16.061460506706407
2,1,15.760271587743732
2,2,13.39697543859649
2,3,8.957475655430711
2,4,11.33283650190114
2,5,23.433472527472528
2,6,18.497409722222223
2,7,20.65246861924686
2,8,18.6493125
2,9,17.437097232079488
2,10,14.423048353188506
2,11,8.112984441301274
2,12,8.653829022988505
2,13,10.13579058327477
2,14,13.366395833333334
2,15,12.3255625
2,16,13.203603667136813
2,17,5.726111524163569
2,18,6.967224199288257
2,19,11.22064587973274
2,20,13.668187499999998
2,21,19.41426388888889
2,22,18.32113194444445
2,23,15.99178472222222
2,24,21.78750704225352
2,25,21.85898662913441
2,26,19.17943427620632
3,1,20.011368055555558
3,2,15.408444444444443
3,3,15.464625000000002
3,4,17.167777777777776
3,5,17.221291666666666
3,6,15.056576388888889
3,7,12.87946704067321
3,8,21.055722222222222
3,9,17.078308771929823
3,10,13.284729166666663
3,11,12.76134965034965
3,12,18.846527777777776
3,13,21.433055555555555
3,14,22.978672199170123
