O3,Rad_Avg,Radiation
42.098597222222224,630.2644656679151,Radiation 3
44.56038888888889,659.373537772087,Radiation 3
50.77761805555556,485.72543456162646,Radiation 2
50.88180555555556,422.33630100755664,Radiation 2
52.67316666666667,449.4365586034913,Radiation 2
50.357875,393.3348205771644,Radiation 2
46.95279166666667,392.5653210332104,Radiation 2
41.35171527777778,345.9583585858586,Radiation 2
44.57420138888889,452.28029987608426,Radiation 2
44.63125,400.5215531914894,Radiation 2
47.64417361111112,586.7699506781751,Radiation 3
36.44812872467223,397.3687151898735,Radiation 2
46.36608993902439,180.4219492385787,Radiation 1
46.613937500000006,503.9943180693069,Radiation 3
45.31896527777778,407.45275,Radiation 2
48.07225694444445,449.3008452237001,Radiation 2
50.62408333333333,354.1508051470588,Radiation 2
45.812041666666666,400.42493773349935,Radiation 2
49.121090277777775,432.487481707317,Radiation 2
38.442125,331.4047229813665,Radiation 2
44.47498611111112,532.6010277108434,Radiation 3
24.28945091514143,352.6124522821577,Radiation 2
43.86094444444445,607.3598472906403,Radiation 3
51.76501388888889,605.5057121771217,Radiation 3
50.53036111111111,628.1557985166874,Radiation 3
47.22839583333333,597.2142638398116,Radiation 3
49.99317361111111,642.3809289215686,Radiation 3
45.39443055555556,477.5219063583816,Radiation 2
43.06645138888889,494.62054360812425,Radiation 2
43.40754861111111,553.6606971916972,Radiation 3
46.80977777777778,626.3244577723378,Radiation 3
43.47030555555556,562.4588417177914,Radiation 3
45.44541666666667,606.5521228501228,Radiation 3
45.59886805555555,570.2643990208079,Radiation 3
48.23558333333334,645.4188214285714,Radiation 3
50.8070625,623.3353223039215,Radiation 3
42.99051112656468,575.0084112607099,Radiation 3
39.696125,588.9741009852216,Radiation 3
39.475208333333335,445.66748768472905,Radiation 2
34.802083333333336,547.1736233128835,Radiation 3
41.97205555555556,556.8108333333333,Radiation 3
45.95,554.6141540342298,Radiation 3
42.8440625,491.576152811736,Radiation 2
42.05464583333333,576.8377765567766,Radiation 3
42.29879861111111,535.4194089264174,Radiation 3
41.02654861111111,545.9295055079559,Radiation 3
35.668909722222224,483.63316525934863,Radiation 2
32.44148611111111,201.1887761529809,Radiation 1
36.39019444444444,380.5403862612613,Radiation 2
41.2050625,369.1818019093079,Radiation 2
21.114088397790056,483.8610444352299,Radiation 2
19.109270833333333,364.1099115479116,Radiation 2
32.95679166666667,397.1803447461629,Radiation 2
38.33725694444445,441.9767992610838,Radiation 2
35.238729166666666,364.49213212121214,Radiation 2
47.904465277777774,419.6799849537037,Radiation 2
40.25185416666667,465.151687426557,Radiation 2
28.80428472222222,422.7008742586002,Radiation 2
26.203569444444444,430.935332103321,Radiation 2
38.01149305555556,430.6742742857143,Radiation 2
33.164145833333336,390.679824137931,Radiation 2
40.288243055555554,466.06003695652174,Radiation 2
42.909333333333336,518.3273301775148,Radiation 3
47.542125000000006,559.9601805392731,Radiation 3
41.57513194444444,459.6313006134969,Radiation 2
42.71929166666666,497.2719777777778,Radiation 2
45.58594444444444,591.29964749082,Radiation 3
35.782520833333336,418.2809987775061,Radiation 2
43.981625,387.3045792410714,Radiation 2
50.90334722222223,547.717625146886,Radiation 3
43.22997216423104,565.7463102595798,Radiation 3
37.51790277777778,459.628695970696,Radiation 2
35.121875,348.0938574938575,Radiation 2
32.768819444444446,342.2387041198502,Radiation 2
24.74651388888889,288.6865254658385,Radiation 1
24.029611111111112,267.4110035842294,Radiation 1
35.007083333333334,205.6021714922049,Radiation 1
33.40092361111111,448.6227388059701,Radiation 2
20.68875945537065,458.6657785467128,Radiation 2
26.242395833333337,396.1997892215569,Radiation 2
