Fecha,O3
2019-01-01,1.25
2019-01-02,2.7777777777777777
2019-01-03,4.3999999999999995
2019-01-04,1.888888888888889
2019-01-05,3.1428571428571423
2019-01-06,2.5
2019-01-07,4.4
2019-01-08,6.5
2019-01-09,4.461538461538462
2019-01-10,3.625
2019-01-11,3.2500000000000004
2019-01-12,3.0
2019-01-13,3.1428571428571423
2019-01-14,4.3999999999999995
2019-01-15,3.6363636363636362
2019-01-16,4.636363636363637
2019-01-17,4.416666666666667
2019-01-18,4.0
2019-01-19,5.454545454545454
2019-01-20,3.0
2019-01-21,5.333333333333333
2019-01-22,4.3999999999999995
2019-01-23,3.4000000000000004
2019-01-24,4.285714285714286
2019-01-25,5.2
2019-01-28,2.5
2019-01-29,3.111111111111111
2019-01-30,2.75
2019-01-31,5.0
2019-02-01,2.0
2019-02-02,2.5714285714285716
2019-02-03,2.0
2019-02-04,1.4
2019-02-05,6.75
2019-02-06,4.0
2019-02-07,4.875
2019-02-08,5.285714285714285
2019-02-09,2.428571428571429
2019-02-10,1.5
2019-02-11,28.100000000000005
2019-02-12,67.41666666666667
2019-02-13,25.833333333333332
2019-02-14,27.25
2019-02-15,24.333333333333332
2019-02-16,26.708333333333336
2019-02-17,21.416666666666668
2019-02-18,16.458333333333336
2019-02-19,13.75
2019-02-20,13.166666666666666
2019-02-21,10.0
2019-02-22,9.75
2019-02-23,12.75
2019-02-24,14.782608695652176
2019-02-25,14.826086956521737
2019-02-26,19.181818181818183
2019-02-27,22.583333333333332
2019-02-28,30.375
2019-03-01,24.958333333333332
2019-03-02,28.333333333333336
2019-03-03,31.583333333333332
2019-03-04,27.0
2019-03-05,31.0
2019-03-06,27.416666666666668
2019-03-07,28.999999999999996
2019-03-08,28.333333333333336
2019-03-09,30.916666666666664
2019-03-10,29.291666666666664
2019-03-11,29.583333333333332
2019-03-12,27.208333333333336
2019-03-13,25.782608695652172
2019-03-14,26.541666666666668
2019-03-15,24.833333333333332
2019-03-16,21.708333333333332
2019-03-17,23.625000000000004
2019-03-18,27.291666666666668
2019-03-19,23.208333333333336
2019-03-20,21.0
2019-03-21,21.166666666666668
2019-03-22,22.500000000000004
2019-03-23,50.833333333333336
2019-03-24,71.58333333333333
2019-03-25,70.38888888888889
2019-03-26,73.41666666666667
2019-03-27,56.52173913043478
2019-03-28,42.083333333333336
2019-03-29,43.791666666666664
2019-03-30,38.708333333333336
2019-03-31,40.916666666666664
2019-04-01,37.041666666666664
2019-04-02,35.125
2019-04-03,39.25
2019-04-04,39.5
2019-04-05,35.666666666666664
2019-04-06,34.666666666666664
2019-04-07,37.5
2019-04-08,38.083333333333336
2019-04-09,40.04166666666667
2019-04-10,42.333333333333336
2019-04-11,42.0
2019-04-12,43.541666666666664
2019-04-13,41.75
2019-04-14,42.833333333333336
2019-04-15,42.291666666666664
2019-04-16,37.708333333333336
2019-04-17,30.791666666666664
2019-04-18,38.625
2019-04-19,40.916666666666664
2019-04-20,40.875
2019-04-21,39.291666666666664
2019-04-22,41.083333333333336
2019-04-23,36.458333333333336
2019-04-24,41.625
2019-04-25,43.20833333333333
2019-04-26,46.08333333333333
2019-04-27,44.416666666666664
2019-04-28,45.583333333333336
2019-04-29,45.375
2019-04-30,39.125
2019-05-01,47.20833333333333
2019-05-02,43.20833333333333
2019-05-03,46.66666666666667
2019-05-04,40.041666666666664
2019-05-05,39.95833333333333
2019-05-06,35.541666666666664
2019-05-07,36.416666666666664
2019-05-08,44.00000000000001
2019-05-09,40.5
2019-05-10,40.25
2019-05-11,30.458333333333332
2019-05-12,37.208333333333336
2019-05-13,37.166666666666664
2019-05-14,36.391304347826086
2019-05-15,39.125
2019-05-16,37.91666666666667
2019-05-17,32.625
2019-05-18,35.041666666666664
2019-05-19,40.833333333333336
2019-05-20,43.125
2019-05-21,46.875
2019-05-22,48.54166666666667
2019-05-23,50.24999999999999
2019-05-24,51.87500000000001
2019-05-25,44.791666666666664
2019-05-26,47.70833333333333
2019-05-27,44.75000000000001
2019-05-28,36.833333333333336
2019-05-29,42.083333333333336
2019-05-30,46.41666666666667
2019-05-31,44.291666666666664
2019-06-01,37.625
2019-06-02,25.791666666666668
2019-06-03,28.708333333333336
2019-06-04,24.333333333333332
2019-06-05,19.875
2019-06-06,21.875000000000004
2019-06-07,31.043478260869566
2019-06-08,36.5
2019-06-09,40.708333333333336
2019-06-10,44.125
2019-06-11,42.0
2019-06-12,40.958333333333336
2019-06-13,36.166666666666664
2019-06-14,15.0
2019-06-17,40.46666666666666
2019-06-18,35.083333333333336
2019-06-19,38.41666666666667
2019-06-20,31.291666666666668
2019-06-21,28.458333333333336
2019-06-22,33.958333333333336
2019-06-23,39.29166666666667
2019-06-24,22.583333333333332
2019-06-25,14.875
2019-06-26,20.458333333333332
2019-06-27,26.416666666666668
2019-06-28,31.291666666666668
2019-06-29,30.708333333333336
2019-06-30,31.291666666666668
2019-07-01,32.875
2019-07-02,27.166666666666668
2019-07-03,21.833333333333332
2019-07-04,27.291666666666668
2019-07-05,38.916666666666664
2019-07-06,36.25
2019-07-07,34.708333333333336
2019-07-08,32.45833333333333
2019-07-09,36.125
2019-07-10,38.66666666666667
2019-07-11,25.708333333333332
2019-07-12,27.166666666666668
2019-07-13,30.833333333333336
2019-07-14,30.041666666666664
2019-07-15,29.125
2019-07-16,37.666666666666664
2019-07-17,26.541666666666668
2019-07-18,26.541666666666668
2019-07-19,26.916666666666668
2019-07-20,26.583333333333332
2019-07-21,20.791666666666668
2019-07-22,26.416666666666668
2019-07-23,27.25
