Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Merida (meda), Yucatan
Lat 20.9838 N, Lon 89.6452 W, Alt 25 masl
Time UTC-6h
Air Quality data
BDL = Below Detection Limit, null = missing data
 
Time,O3,SO2,NO2,NO,CO,PM10,PM2.5
yyyy-mm-dd HH:MM:SS,ppb,ppb,ppb,ppb,ppm,ug/m^3,ug/m^3
2016-01-01 00:00:00,8.46,BDL,4.62,BDL,null,10.91,7.51
2016-01-01 00:01:00,8.26,BDL,4.81,BDL,null,10.88,7.34
2016-01-01 00:02:00,8.53,BDL,4.66,BDL,null,11.05,7.34
2016-01-01 00:03:00,9.24,BDL,4.27,BDL,null,11.54,6.72
2016-01-01 00:04:00,9.35,BDL,3.9,BDL,null,11.88,6.56
2016-01-01 00:05:00,9.55,BDL,3.7,BDL,null,12.54,6.3
2016-01-01 00:06:00,10.13,BDL,3.28,BDL,null,12.77,5.61
2016-01-01 00:07:00,10.22,BDL,3.23,BDL,null,12.57,5.1
2016-01-01 00:08:00,10.5,BDL,3.19,BDL,null,12.41,4.53
2016-01-01 00:09:00,10.5,BDL,2.95,BDL,null,13.19,4.03
2016-01-01 00:10:00,9.86,BDL,3.25,BDL,null,13.12,BDL
2016-01-01 00:11:00,9.46,BDL,3.88,BDL,null,12.79,BDL
2016-01-01 00:12:00,9.84,BDL,3.93,BDL,null,12.42,BDL
2016-01-01 00:13:00,10.59,BDL,3.64,BDL,null,12.86,4.31
2016-01-01 00:14:00,11.06,BDL,3.39,BDL,null,12.12,5.25
2016-01-01 00:15:00,10.59,BDL,3.3,BDL,null,10.89,5.97
2016-01-01 00:16:00,11.01,BDL,3.1,BDL,null,10.39,7.11
2016-01-01 00:17:00,10.24,BDL,3.4,BDL,null,10.74,7.75
2016-01-01 00:18:00,9.35,BDL,3.46,BDL,null,10.65,8.1
2016-01-01 00:19:00,9.93,BDL,3.7,BDL,null,10.27,8.33
2016-01-01 00:20:00,11.16,BDL,3.29,BDL,null,10.14,7.77
2016-01-01 00:21:00,11.85,BDL,2.7,BDL,null,10.05,6.71
2016-01-01 00:22:00,11.62,BDL,2.49,BDL,null,9.34,5.93
2016-01-01 00:23:00,12.18,BDL,2.35,BDL,null,9.07,5.29
2016-01-01 00:24:00,11.79,BDL,2.75,BDL,null,8.37,5.14
2016-01-01 00:25:00,11.04,BDL,3.23,BDL,null,8.19,4.89
2016-01-01 00:26:00,10.96,BDL,3.6,BDL,null,8.42,4.49
2016-01-01 00:27:00,10.39,BDL,4.22,BDL,null,8.97,4.43
2016-01-01 00:28:00,10.19,BDL,3.83,BDL,null,9.83,4.36
2016-01-01 00:29:00,11.74,BDL,2.37,BDL,null,10.61,4.36
2016-01-01 00:30:00,11.5,BDL,2.33,BDL,null,10.74,BDL
2016-01-01 00:31:00,11.74,BDL,2.36,BDL,null,10.66,BDL
2016-01-01 00:32:00,11.77,BDL,2.48,BDL,null,10.19,BDL
2016-01-01 00:33:00,11.41,BDL,2.79,BDL,null,9.56,BDL
2016-01-01 00:34:00,10.94,BDL,2.72,BDL,null,9.05,BDL
2016-01-01 00:35:00,11.04,BDL,2.52,BDL,null,9.76,BDL
2016-01-01 00:36:00,11.82,BDL,2.05,BDL,null,10.31,BDL
2016-01-01 00:37:00,11.32,BDL,2.18,BDL,null,10.89,BDL
2016-01-01 00:38:00,11.38,BDL,2.83,BDL,null,11.77,BDL
2016-01-01 00:39:00,11.68,BDL,2.03,BDL,null,13.02,BDL
2016-01-01 00:40:00,11.63,BDL,2.2,BDL,null,13.52,6.4
2016-01-01 00:41:00,11.99,BDL,2.15,BDL,null,13.6,6.4
2016-01-01 00:42:00,11.79,BDL,2.34,BDL,null,13.16,8.63
2016-01-01 00:43:00,12.21,BDL,2.27,BDL,null,12.73,8.2
2016-01-01 00:44:00,11.86,BDL,2.29,BDL,null,12.92,7.58
2016-01-01 00:45:00,11.79,BDL,2.07,BDL,null,13.46,7.27
2016-01-01 00:46:00,11.43,BDL,2.02,BDL,null,14.3,6.59
2016-01-01 00:47:00,12.49,BDL,2.1,BDL,null,15.61,6.9
2016-01-01 00:48:00,13.05,BDL,BDL,BDL,null,15.91,7.59
2016-01-01 00:49:00,13.56,BDL,BDL,BDL,null,16.0,8.08
2016-01-01 00:50:00,13.42,BDL,BDL,BDL,null,15.82,8.24
2016-01-01 00:51:00,13.14,BDL,BDL,BDL,null,16.05,null
2016-01-01 00:52:00,12.86,BDL,BDL,BDL,null,16.21,8.4
2016-01-01 00:53:00,13.05,BDL,BDL,BDL,null,16.45,8.83
2016-01-01 00:54:00,13.67,BDL,BDL,BDL,null,16.13,9.97
2016-01-01 00:55:00,13.34,BDL,BDL,BDL,null,15.47,10.11
2016-01-01 00:56:00,12.69,BDL,BDL,BDL,null,15.21,10.94
2016-01-01 00:57:00,13.12,BDL,BDL,BDL,null,15.27,11.72
