Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Merida (meda), Yucatan
Lat 20.9838 N, Lon 89.6452 W, Alt 25 masl
Time UTC-6h
Air Quality data
BDL = Below Detection Limit, null = missing data
 
Time,O3,SO2,NO2,NO,CO,PM10,PM2.5
yyyy-mm-dd HH:MM:SS,ppb,ppb,ppb,ppb,ppm,ug/m^3,ug/m^3
2018-07-01 00:00:00,10.88,BDL,BDL,BDL,null,22.22,12.51
2018-07-01 00:01:00,10.05,BDL,BDL,BDL,null,21.66,12.62
2018-07-01 00:02:00,9.92,BDL,BDL,BDL,null,20.86,12.81
2018-07-01 00:03:00,9.91,BDL,BDL,BDL,null,19.55,12.85
2018-07-01 00:04:00,9.84,BDL,BDL,BDL,null,18.6,12.57
2018-07-01 00:05:00,9.9,BDL,BDL,BDL,null,17.93,11.45
2018-07-01 00:06:00,9.69,BDL,BDL,BDL,null,17.79,BDL
2018-07-01 00:07:00,9.2,BDL,BDL,BDL,null,18.19,9.8
2018-07-01 00:08:00,8.99,BDL,BDL,BDL,null,19.04,9.79
2018-07-01 00:09:00,9.13,BDL,BDL,BDL,null,20.05,10.11
2018-07-01 00:10:00,9.28,BDL,BDL,BDL,null,20.92,10.9
2018-07-01 00:11:00,9.74,BDL,BDL,BDL,null,22.74,11.52
2018-07-01 00:12:00,10.04,BDL,BDL,BDL,null,24.53,14.14
2018-07-01 00:13:00,10.19,BDL,BDL,BDL,null,26.5,14.14
2018-07-01 00:14:00,9.91,BDL,BDL,BDL,null,29.03,16.14
2018-07-01 00:15:00,9.59,BDL,BDL,BDL,null,29.65,16.54
2018-07-01 00:16:00,9.64,BDL,BDL,BDL,null,31.81,16.83
2018-07-01 00:17:00,9.86,BDL,BDL,BDL,null,32.87,17.21
2018-07-01 00:18:00,9.69,BDL,BDL,BDL,null,33.74,17.37
2018-07-01 00:19:00,9.43,BDL,BDL,BDL,null,33.82,17.52
2018-07-01 00:20:00,9.07,BDL,BDL,BDL,null,33.41,18.18
2018-07-01 00:21:00,9.01,BDL,BDL,BDL,null,32.25,18.47
2018-07-01 00:22:00,8.95,BDL,BDL,BDL,null,32.7,18.38
2018-07-01 00:23:00,8.94,BDL,BDL,BDL,null,34.63,18.36
2018-07-01 00:24:00,9.39,BDL,BDL,BDL,null,35.89,19.11
2018-07-01 00:25:00,9.64,BDL,BDL,BDL,null,37.84,19.93
2018-07-01 00:26:00,9.47,BDL,BDL,BDL,null,38.65,21.61
2018-07-01 00:27:00,9.63,BDL,BDL,BDL,null,40.52,22.31
2018-07-01 00:28:00,9.79,BDL,BDL,BDL,null,41.19,23.05
2018-07-01 00:29:00,9.37,BDL,BDL,BDL,null,42.84,23.21
2018-07-01 00:30:00,9.23,BDL,BDL,BDL,null,43.91,22.45
