Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Merida (meda), Yucatan
Lat 20.9838 N, Lon 89.6452 W, Alt 25 masl
Time UTC-6h
Air Quality data
BDL = Below Detection Limit, null = missing data
 
Time,O3,SO2,NO2,NO,CO,PM10,PM2.5
yyyy-mm-dd HH:MM:SS,ppb,ppb,ppb,ppb,ppm,ug/m^3,ug/m^3
2019-07-01 00:00:00,10.38,BDL,null,null,null,26.26,BDL
2019-07-01 00:01:00,11.91,BDL,null,null,null,27.32,BDL
2019-07-01 00:02:00,12.39,BDL,null,null,null,27.54,BDL
2019-07-01 00:03:00,11.89,BDL,null,null,null,26.81,BDL
2019-07-01 00:04:00,11.6,BDL,null,null,null,26.04,BDL
2019-07-01 00:05:00,11.74,BDL,null,null,null,24.11,BDL
2019-07-01 00:06:00,11.78,BDL,null,null,null,23.11,BDL
2019-07-01 00:07:00,11.77,BDL,null,null,null,23.0,BDL
2019-07-01 00:08:00,11.88,BDL,null,null,null,22.13,BDL
2019-07-01 00:09:00,12.06,BDL,null,null,null,21.09,BDL
2019-07-01 00:10:00,11.54,BDL,null,null,null,19.0,BDL
2019-07-01 00:11:00,11.18,BDL,null,null,null,16.85,BDL
2019-07-01 00:12:00,11.41,BDL,null,null,null,13.96,BDL
2019-07-01 00:13:00,12.11,BDL,null,null,null,13.31,BDL
2019-07-01 00:14:00,12.13,BDL,null,null,null,12.97,BDL
2019-07-01 00:15:00,11.61,BDL,null,null,null,12.1,BDL
2019-07-01 00:16:00,11.74,BDL,null,null,null,12.22,BDL
2019-07-01 00:17:00,11.87,BDL,null,null,null,11.72,BDL
2019-07-01 00:18:00,11.69,BDL,null,null,null,11.52,BDL
2019-07-01 00:19:00,11.55,BDL,null,null,null,9.57,BDL
2019-07-01 00:20:00,11.3,BDL,null,null,null,8.0,BDL
2019-07-01 00:21:00,10.9,BDL,null,null,null,7.79,BDL
2019-07-01 00:22:00,11.06,BDL,null,null,null,8.44,BDL
2019-07-01 00:23:00,11.12,BDL,null,null,null,8.42,BDL
2019-07-01 00:24:00,10.85,BDL,null,null,null,9.27,BDL
2019-07-01 00:25:00,10.67,BDL,null,null,null,9.81,BDL
2019-07-01 00:26:00,10.71,BDL,null,null,null,9.14,BDL
2019-07-01 00:27:00,10.34,BDL,null,null,null,9.35,BDL
2019-07-01 00:28:00,11.81,BDL,null,null,null,10.52,BDL
2019-07-01 00:29:00,11.49,BDL,null,null,null,10.33,BDL
2019-07-01 00:30:00,11.35,BDL,null,null,null,10.23,4.95
2019-07-01 00:31:00,10.59,BDL,null,null,null,9.75,5.99
2019-07-01 00:32:00,10.36,BDL,null,null,null,10.73,6.72
2019-07-01 00:33:00,10.63,BDL,null,null,null,11.79,7.19
2019-07-01 00:34:00,10.45,BDL,null,null,null,12.05,BDL
2019-07-01 00:35:00,10.59,BDL,null,null,null,12.45,7.48
2019-07-01 00:36:00,10.84,BDL,null,null,null,12.31,7.08
2019-07-01 00:37:00,10.99,BDL,null,null,null,13.2,7.05
2019-07-01 00:38:00,11.06,BDL,null,null,null,13.18,7.13
2019-07-01 00:39:00,10.33,BDL,null,null,null,12.44,6.8
2019-07-01 00:40:00,10.57,BDL,null,null,null,12.4,6.26
2019-07-01 00:41:00,10.62,BDL,null,null,null,12.77,5.89
2019-07-01 00:42:00,10.2,BDL,null,null,null,12.72,5.77
2019-07-01 00:43:00,10.31,BDL,null,null,null,13.46,5.47
