Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Merida (meda), Yucatan
Lat 20.9838 N, Lon 89.6452 W, Alt 25 masl
Time UTC-6h
Air Quality data
BDL = Below Detection Limit, null = missing data
 
Time,O3,SO2,NO2,NO,CO,PM10,PM2.5
yyyy-mm-dd HH:MM:SS,ppb,ppb,ppb,ppb,ppm,ug/m^3,ug/m^3
2018-03-01 00:00:00,18.26,BDL,BDL,BDL,null,11.78,BDL
2018-03-01 00:01:00,18.39,BDL,BDL,BDL,null,11.52,BDL
2018-03-01 00:02:00,18.25,BDL,BDL,BDL,null,11.03,BDL
2018-03-01 00:03:00,18.37,BDL,BDL,BDL,null,10.78,BDL
2018-03-01 00:04:00,18.96,BDL,BDL,BDL,null,10.68,BDL
2018-03-01 00:05:00,18.81,BDL,BDL,BDL,null,11.34,BDL
2018-03-01 00:06:00,18.62,BDL,BDL,BDL,null,11.69,BDL
2018-03-01 00:07:00,18.54,BDL,BDL,BDL,null,12.0,BDL
2018-03-01 00:08:00,18.41,BDL,BDL,BDL,null,12.46,BDL
2018-03-01 00:09:00,18.48,BDL,BDL,BDL,null,12.77,BDL
2018-03-01 00:10:00,18.5,BDL,BDL,BDL,null,13.54,BDL
2018-03-01 00:11:00,18.65,BDL,BDL,BDL,null,13.54,BDL
2018-03-01 00:12:00,18.54,BDL,BDL,BDL,null,13.35,BDL
2018-03-01 00:13:00,18.58,BDL,BDL,BDL,null,13.42,BDL
2018-03-01 00:14:00,18.33,BDL,BDL,BDL,null,13.59,BDL
2018-03-01 00:15:00,18.51,BDL,BDL,BDL,null,13.68,BDL
2018-03-01 00:16:00,18.77,BDL,BDL,BDL,null,13.79,BDL
2018-03-01 00:17:00,18.81,BDL,BDL,BDL,null,14.12,BDL
2018-03-01 00:18:00,18.6,BDL,BDL,BDL,null,14.81,BDL
2018-03-01 00:19:00,18.44,BDL,BDL,BDL,null,15.8,BDL
2018-03-01 00:20:00,18.46,BDL,BDL,BDL,null,16.66,BDL
2018-03-01 00:21:00,18.55,BDL,BDL,BDL,null,17.06,BDL
2018-03-01 00:22:00,18.81,BDL,BDL,BDL,null,17.24,BDL
2018-03-01 00:23:00,18.85,BDL,BDL,BDL,null,16.92,BDL
2018-03-01 00:24:00,18.69,BDL,BDL,BDL,null,15.86,BDL
2018-03-01 00:25:00,18.73,BDL,BDL,BDL,null,14.78,BDL
2018-03-01 00:26:00,18.5,BDL,BDL,BDL,null,14.12,BDL
2018-03-01 00:27:00,18.48,BDL,BDL,BDL,null,13.49,BDL
2018-03-01 00:28:00,18.8,BDL,BDL,BDL,null,12.71,BDL
2018-03-01 00:29:00,18.85,BDL,BDL,BDL,null,11.93,BDL
2018-03-01 00:30:00,18.88,BDL,BDL,BDL,null,10.47,BDL
2018-03-01 00:31:00,18.85,BDL,BDL,BDL,null,9.7,BDL
2018-03-01 00:32:00,18.86,BDL,BDL,BDL,null,9.5,BDL
2018-03-01 00:33:00,18.57,BDL,BDL,BDL,null,9.31,BDL
2018-03-01 00:34:00,18.81,BDL,BDL,BDL,null,9.06,BDL
2018-03-01 00:35:00,18.64,BDL,BDL,BDL,null,8.87,BDL
2018-03-01 00:36:00,18.69,BDL,BDL,BDL,null,8.12,BDL
2018-03-01 00:37:00,19.0,BDL,BDL,BDL,null,7.17,BDL
2018-03-01 00:38:00,18.98,BDL,BDL,BDL,null,5.48,BDL
2018-03-01 00:39:00,18.94,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:40:00,18.89,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:41:00,18.75,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:42:00,18.96,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:43:00,18.9,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:44:00,18.93,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:45:00,18.79,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:46:00,18.6,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:47:00,18.63,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:48:00,18.64,BDL,BDL,BDL,null,BDL,BDL
2018-03-01 00:49:00,18.54,BDL,BDL,BDL,null,BDL,4.53
2018-03-01 00:50:00,18.12,BDL,BDL,BDL,null,BDL,5.51
2018-03-01 00:51:00,16.18,BDL,BDL,BDL,null,BDL,7.06
2018-03-01 00:52:00,16.52,BDL,BDL,BDL,null,BDL,7.53
2018-03-01 00:53:00,16.92,BDL,BDL,BDL,null,BDL,8.38
2018-03-01 00:54:00,18.28,BDL,BDL,BDL,null,BDL,8.56
2018-03-01 00:55:00,19.06,BDL,BDL,BDL,null,BDL,8.52
2018-03-01 00:56:00,18.98,BDL,BDL,BDL,null,BDL,8.92
2018-03-01 00:57:00,18.9,BDL,BDL,BDL,null,BDL,9.12
2018-03-01 00:58:00,19.17,BDL,BDL,BDL,null,BDL,7.9
2018-03-01 00:59:00,19.21,BDL,BDL,BDL,null,BDL,7.79
2018-03-01 01:00:00,19.27,BDL,BDL,BDL,null,BDL,6.08
2018-03-01 01:01:00,19.19,BDL,BDL,BDL,null,4.64,4.79
2018-03-01 01:02:00,19.15,BDL,BDL,BDL,null,4.98,BDL
2018-03-01 01:03:00,19.04,BDL,BDL,BDL,null,5.76,BDL
2018-03-01 01:04:00,18.74,BDL,BDL,BDL,null,6.64,BDL
2018-03-01 01:05:00,18.5,BDL,BDL,BDL,null,7.84,BDL
2018-03-01 01:06:00,18.71,BDL,BDL,BDL,null,8.9,BDL
2018-03-01 01:07:00,18.68,BDL,BDL,BDL,null,9.68,BDL
2018-03-01 01:08:00,18.79,BDL,BDL,BDL,null,10.1,BDL
2018-03-01 01:09:00,18.66,BDL,BDL,BDL,null,10.76,BDL
2018-03-01 01:10:00,18.57,BDL,BDL,BDL,null,11.3,BDL
2018-03-01 01:11:00,18.69,BDL,BDL,BDL,null,11.49,BDL
2018-03-01 01:12:00,18.81,BDL,BDL,BDL,null,12.09,BDL
2018-03-01 01:13:00,18.64,BDL,BDL,BDL,null,12.52,BDL
2018-03-01 01:14:00,18.56,BDL,BDL,BDL,null,13.98,BDL
2018-03-01 01:15:00,18.46,BDL,BDL,BDL,null,15.74,BDL
2018-03-01 01:16:00,18.1,BDL,BDL,BDL,null,16.38,BDL
2018-03-01 01:17:00,18.19,BDL,BDL,BDL,null,17.36,BDL
2018-03-01 01:18:00,18.21,BDL,BDL,BDL,null,17.66,BDL
2018-03-01 01:19:00,18.08,BDL,BDL,BDL,null,17.86,BDL
2018-03-01 01:20:00,18.19,BDL,BDL,BDL,null,18.37,BDL
2018-03-01 01:21:00,18.25,BDL,BDL,BDL,null,19.05,BDL
2018-03-01 01:22:00,18.31,BDL,BDL,BDL,null,20.02,BDL
2018-03-01 01:23:00,18.33,BDL,BDL,BDL,null,20.51,BDL
2018-03-01 01:24:00,18.14,BDL,BDL,BDL,null,20.62,BDL
2018-03-01 01:25:00,18.43,BDL,BDL,BDL,null,21.32,BDL
2018-03-01 01:26:00,18.66,BDL,BDL,BDL,null,21.41,BDL
2018-03-01 01:27:00,18.3,BDL,BDL,BDL,null,20.99,BDL
2018-03-01 01:28:00,18.18,BDL,BDL,BDL,null,20.33,BDL
2018-03-01 01:29:00,18.73,BDL,BDL,BDL,null,19.9,BDL
2018-03-01 01:30:00,18.63,BDL,BDL,BDL,null,19.55,BDL
2018-03-01 01:31:00,18.9,BDL,BDL,BDL,null,19.85,BDL
2018-03-01 01:32:00,18.54,BDL,BDL,BDL,null,19.96,BDL
2018-03-01 01:33:00,18.56,BDL,BDL,BDL,null,19.75,BDL
2018-03-01 01:34:00,18.38,BDL,BDL,BDL,null,19.67,BDL
2018-03-01 01:35:00,18.75,BDL,BDL,BDL,null,null,BDL
2018-03-01 01:36:00,18.36,BDL,BDL,BDL,null,19.84,BDL
2018-03-01 01:37:00,18.08,BDL,BDL,BDL,null,20.04,BDL
2018-03-01 01:38:00,17.85,BDL,BDL,BDL,null,19.82,BDL
2018-03-01 01:39:00,18.11,BDL,BDL,BDL,null,19.05,BDL
2018-03-01 01:40:00,18.39,BDL,BDL,BDL,null,18.28,BDL
2018-03-01 01:41:00,18.12,BDL,BDL,BDL,null,17.7,BDL
2018-03-01 01:42:00,18.06,BDL,BDL,BDL,null,17.59,BDL
2018-03-01 01:43:00,18.19,BDL,BDL,BDL,null,17.72,BDL
2018-03-01 01:44:00,18.41,BDL,BDL,BDL,null,17.87,BDL
2018-03-01 01:45:00,18.25,BDL,BDL,BDL,null,17.93,BDL
2018-03-01 01:46:00,17.98,BDL,BDL,BDL,null,19.74,4.07
2018-03-01 01:47:00,17.7,BDL,BDL,BDL,null,20.28,4.43
2018-03-01 01:48:00,17.53,BDL,BDL,BDL,null,20.35,BDL
2018-03-01 01:49:00,17.39,BDL,BDL,BDL,null,18.53,6.07
2018-03-01 01:50:00,17.23,BDL,BDL,BDL,null,18.16,6.68
2018-03-01 01:51:00,17.4,BDL,BDL,BDL,null,16.12,8.18
2018-03-01 01:52:00,17.64,BDL,BDL,BDL,null,14.37,9.5
2018-03-01 01:53:00,17.79,BDL,BDL,BDL,null,13.12,10.42
2018-03-01 01:54:00,17.66,BDL,BDL,BDL,null,13.16,10.49
2018-03-01 01:55:00,17.71,BDL,BDL,BDL,null,13.04,10.47
2018-03-01 01:56:00,17.62,BDL,BDL,BDL,null,12.52,10.71
2018-03-01 01:57:00,17.35,BDL,BDL,BDL,null,11.07,11.57
2018-03-01 01:58:00,17.34,BDL,BDL,BDL,null,10.08,11.02
2018-03-01 01:59:00,17.48,BDL,BDL,BDL,null,8.39,11.0
2018-03-01 02:00:00,17.08,BDL,BDL,BDL,null,7.62,10.82
2018-03-01 02:01:00,17.05,BDL,BDL,BDL,null,7.29,10.64
2018-03-01 02:02:00,17.44,BDL,BDL,BDL,null,7.36,11.24
2018-03-01 02:03:00,17.31,BDL,BDL,BDL,null,7.3,11.85
2018-03-01 02:04:00,17.33,BDL,BDL,BDL,null,6.53,12.01
2018-03-01 02:05:00,17.17,BDL,BDL,BDL,null,BDL,12.06
2018-03-01 02:06:00,17.44,BDL,BDL,BDL,null,5.92,11.85
2018-03-01 02:07:00,17.35,BDL,BDL,BDL,null,5.16,11.45
2018-03-01 02:08:00,17.14,BDL,BDL,BDL,null,4.88,11.63
2018-03-01 02:09:00,16.94,BDL,BDL,BDL,null,4.85,11.64
2018-03-01 02:10:00,17.06,BDL,BDL,BDL,null,4.82,11.29
2018-03-01 02:11:00,17.02,BDL,BDL,BDL,null,4.53,10.96
2018-03-01 02:12:00,16.89,BDL,BDL,BDL,null,BDL,9.67
2018-03-01 02:13:00,16.65,BDL,BDL,BDL,null,4.12,9.2
2018-03-01 02:14:00,17.11,BDL,BDL,BDL,null,4.74,9.04
2018-03-01 02:15:00,17.19,BDL,BDL,BDL,null,5.15,9.03
2018-03-01 02:16:00,17.06,BDL,BDL,BDL,null,5.13,8.03
2018-03-01 02:17:00,16.98,BDL,BDL,BDL,null,4.88,7.45
2018-03-01 02:18:00,17.06,BDL,BDL,BDL,null,BDL,6.62
2018-03-01 02:19:00,17.19,BDL,BDL,BDL,null,BDL,5.94
2018-03-01 02:20:00,16.93,BDL,BDL,BDL,null,BDL,5.58
2018-03-01 02:21:00,16.85,BDL,BDL,BDL,null,4.61,4.27
2018-03-01 02:22:00,16.59,BDL,BDL,BDL,null,5.24,BDL
2018-03-01 02:23:00,16.77,BDL,BDL,BDL,null,5.71,BDL
2018-03-01 02:24:00,16.88,BDL,BDL,BDL,null,6.32,BDL
2018-03-01 02:25:00,16.73,BDL,BDL,BDL,null,7.14,4.26
2018-03-01 02:26:00,16.92,BDL,BDL,BDL,null,7.45,4.23
2018-03-01 02:27:00,17.15,BDL,BDL,BDL,null,7.53,BDL
2018-03-01 02:28:00,17.04,BDL,BDL,BDL,null,7.79,BDL
2018-03-01 02:29:00,17.0,BDL,BDL,BDL,null,8.07,BDL
2018-03-01 02:30:00,16.96,BDL,BDL,BDL,null,8.58,4.69
2018-03-01 02:31:00,16.82,BDL,BDL,BDL,null,9.05,5.45
2018-03-01 02:32:00,16.85,BDL,BDL,BDL,null,8.63,6.13
2018-03-01 02:33:00,17.02,BDL,BDL,BDL,null,8.12,6.56
2018-03-01 02:34:00,17.1,BDL,BDL,BDL,null,8.11,5.56
2018-03-01 02:35:00,16.96,BDL,BDL,BDL,null,7.96,4.98
2018-03-01 02:36:00,17.17,BDL,BDL,BDL,null,7.49,BDL
2018-03-01 02:37:00,17.02,BDL,BDL,BDL,null,7.35,BDL
2018-03-01 02:38:00,17.04,BDL,BDL,BDL,null,8.54,BDL
2018-03-01 02:39:00,16.79,BDL,BDL,BDL,null,9.77,BDL
2018-03-01 02:40:00,17.03,BDL,BDL,BDL,null,10.85,BDL
2018-03-01 02:41:00,17.04,BDL,BDL,BDL,null,11.84,BDL
2018-03-01 02:42:00,16.9,BDL,BDL,BDL,null,12.66,BDL
2018-03-01 02:43:00,16.99,BDL,BDL,BDL,null,13.94,BDL
2018-03-01 02:44:00,16.62,BDL,BDL,BDL,null,15.2,BDL
2018-03-01 02:45:00,16.69,BDL,BDL,BDL,null,16.75,BDL
2018-03-01 02:46:00,16.75,BDL,BDL,BDL,null,17.83,BDL
2018-03-01 02:47:00,16.87,BDL,BDL,BDL,null,21.17,BDL
2018-03-01 02:48:00,16.94,BDL,BDL,BDL,null,21.97,BDL
2018-03-01 02:49:00,16.91,BDL,BDL,BDL,null,22.48,BDL
2018-03-01 02:50:00,16.66,BDL,BDL,BDL,null,22.45,BDL
2018-03-01 02:51:00,16.44,BDL,BDL,BDL,null,22.28,BDL
2018-03-01 02:52:00,16.48,BDL,BDL,BDL,null,21.17,BDL
2018-03-01 02:53:00,16.38,BDL,BDL,BDL,null,20.15,BDL
2018-03-01 02:54:00,16.26,BDL,BDL,BDL,null,19.46,BDL
2018-03-01 02:55:00,16.32,BDL,BDL,BDL,null,19.1,BDL
2018-03-01 02:56:00,16.56,BDL,BDL,BDL,null,18.81,BDL
2018-03-01 02:57:00,16.35,BDL,BDL,BDL,null,17.75,BDL
2018-03-01 02:58:00,16.28,BDL,BDL,BDL,null,17.63,BDL
