Fecha,CO
2019-01-07,0.0
2019-01-14,0.0
2019-02-06,0.0
2019-02-08,0.0
2019-02-09,0.0
2019-02-11,1.21
2019-02-12,0.831764705882353
2019-02-13,0.18166666666666667
2019-02-14,0.3154166666666666
2019-02-15,0.13875
2019-02-16,0.030833333333333334
2019-02-17,0.00375
2019-02-18,0.025
2019-02-19,0.21411764705882352
2019-02-20,0.155
2019-02-21,0.16666666666666666
2019-02-22,0.09333333333333334
2019-02-23,0.3225
2019-02-24,0.064
2019-02-25,0.14
2019-02-26,0.37125
2019-02-27,0.33599999999999997
2019-02-28,0.18000000000000002
2019-03-01,0.10250000000000001
2019-03-02,0.1375
2019-03-04,0.035
2019-03-05,0.04
2019-03-06,0.45999999999999996
2019-03-07,0.2340909090909091
2019-03-08,0.14916666666666667
2019-03-09,0.07208333333333333
2019-03-10,0.0355
2019-03-11,0.07052631578947369
2019-03-12,0.1368421052631579
2019-03-13,0.06125
2019-03-14,0.25125
2019-03-15,0.131
2019-03-16,0.134
2019-03-17,0.0455
2019-03-18,0.018125000000000002
2019-03-19,0.02
2019-03-20,0.011333333333333334
2019-03-21,0.0925
2019-03-22,0.11888888888888888
2019-03-23,0.2
2019-03-24,0.095
2019-03-25,0.32181818181818184
2019-03-26,0.16458333333333333
2019-03-27,0.07631578947368421
2019-03-28,0.03222222222222222
2019-03-29,0.026875
2019-03-30,0.005
2019-03-31,0.009166666666666667
2019-04-01,0.016
2019-04-02,0.3
2019-04-03,0.30173913043478257
2019-04-04,0.16708333333333333
2019-04-05,0.15095238095238095
2019-04-06,0.07166666666666667
2019-04-07,0.01
2019-04-08,0.08812500000000001
2019-04-09,0.1163157894736842
2019-04-10,0.059444444444444446
2019-04-11,0.12411764705882353
2019-04-12,0.08058823529411764
2019-04-13,0.01
2019-04-14,0.016
2019-04-15,0.078125
2019-04-16,0.034375
2019-04-17,0.035
2019-04-18,0.013333333333333334
2019-04-19,0.0
2019-04-20,0.0
2019-04-21,0.0
2019-04-22,0.31833333333333336
2019-04-23,0.28833333333333333
2019-04-24,0.35041666666666665
2019-04-25,0.3983333333333334
2019-04-26,0.44166666666666665
2019-04-27,0.42208333333333337
2019-04-28,0.4175
2019-04-29,0.4558333333333333
2019-04-30,0.4185714285714286
2019-05-10,0.0
2019-05-17,0.0
2019-05-18,0.0075
2019-05-19,0.018888888888888886
2019-05-22,0.0033333333333333335
2019-05-23,0.005714285714285714
2019-05-24,0.010909090909090908
2019-05-25,0.03916666666666666
2019-05-26,0.09285714285714286
2019-05-27,0.02733333333333333
2019-05-28,0.07222222222222223
2019-05-29,0.065625
2019-05-30,0.07866666666666668
2019-05-31,0.13470588235294118
2019-06-01,0.0955
2019-06-02,0.10222222222222223
2019-06-03,0.07058823529411765
2019-06-04,0.04958333333333333
2019-06-05,0.09999999999999999
2019-06-06,0.10800000000000001
2019-06-07,0.084375
2019-06-08,0.093125
2019-06-09,0.09466666666666666
2019-06-10,0.11125
2019-06-11,0.016666666666666666
2019-06-12,0.09285714285714286
2019-06-13,0.16555555555555557
2019-06-14,0.20099999999999998
2019-06-17,0.03333333333333334
2019-06-18,0.1068421052631579
2019-06-19,0.14777777777777779
2019-06-20,0.6224999999999999
2019-06-21,0.515
2019-06-22,0.42791666666666667
2019-06-23,0.27166666666666667
2019-06-24,0.20791666666666667
2019-06-25,0.19416666666666668
2019-06-26,0.20458333333333334
2019-06-27,0.16291666666666668
2019-06-28,0.042608695652173914
2019-06-29,0.07565217391304348
2019-06-30,0.044347826086956525
2019-07-01,0.356
2019-07-02,0.42
2019-07-03,0.3275
2019-07-04,0.3229166666666667
2019-07-05,0.31916666666666665
2019-07-06,0.35625
2019-07-07,0.17708333333333334
2019-07-08,0.16208333333333333
2019-07-09,0.18083333333333332
2019-07-10,0.17916666666666667
2019-07-11,0.18125
2019-07-12,0.15791666666666668
2019-07-13,0.18125
2019-07-14,0.14208333333333334
2019-07-15,0.15583333333333335
2019-07-16,0.10045454545454545
2019-07-17,0.3525
2019-07-18,0.39749999999999996
2019-07-19,0.29458333333333336
2019-07-20,0.25833333333333336
2019-07-21,0.24708333333333332
2019-07-22,0.34500000000000003
2019-07-23,0.002
2019-07-24,0.004666666666666667
2019-07-25,0.021666666666666667
2019-07-26,0.00625
2019-07-27,0.0225
2019-07-28,0.007058823529411764
2019-07-29,0.017058823529411765
2019-07-30,0.055624999999999994
2019-07-31,0.32923076923076927
2019-08-01,0.03352941176470588
2019-08-02,0.06375
2019-08-03,0.081875
2019-08-04,0.037647058823529415
2019-08-05,0.05357142857142857
2019-08-06,0.016875
2019-08-07,0.03785714285714286
2019-08-08,0.02
2019-08-09,0.023571428571428573
2019-08-10,0.022
2019-08-11,0.010909090909090908
2019-08-12,0.020714285714285716
2019-08-13,0.023
2019-08-14,0.5255
2019-08-15,0.8520833333333333
2019-08-16,0.7095833333333333
2019-08-17,0.62375
2019-08-18,0.5775
2019-08-19,0.5168181818181817
2019-08-20,0.23416666666666666
2019-08-21,0.2141666666666667
2019-08-22,0.2020833333333333
2019-08-23,0.28250000000000003
2019-08-24,0.35833333333333334
2019-08-25,0.2675
2019-08-26,0.2791666666666667
2019-08-27,0.22666666666666668
2019-08-28,0.2719047619047619
2019-08-29,0.4190909090909091
2019-08-30,0.5731818181818181
2019-08-31,0.63125
2019-09-01,0.5679166666666667
2019-09-02,0.5870833333333333
2019-09-03,1.2380952380952381
2019-09-04,1.148235294117647
2019-09-05,0.6587500000000001
2019-09-06,0.9323809523809523
2019-09-07,0.6366666666666666
