O3,RH_Avg,RelativeHumidity
42.098597222222224,29.753888888888888,Humidity 1
44.56038888888889,27.642534722222223,Humidity 1
50.77761805555556,30.954847222222224,Humidity 1
50.88180555555556,35.661208333333335,Humidity 2
52.67316666666667,42.64975,Humidity 2
50.357875,44.23875,Humidity 3
46.95279166666667,44.02352777777777,Humidity 3
41.35171527777778,44.56872222222222,Humidity 3
44.57420138888889,42.72382638888889,Humidity 2
44.63125,49.10660416666666,Humidity 3
47.64417361111112,41.32798611111112,Humidity 2
36.44812872467223,63.61988081048868,Humidity 5
46.36608993902439,41.86745098039216,Humidity 2
46.613937500000006,45.45894444444444,Humidity 3
45.31896527777778,48.72843055555556,Humidity 3
48.07225694444445,50.42340972222223,Humidity 3
50.62408333333333,58.56954861111111,Humidity 4
45.812041666666666,59.9438125,Humidity 4
49.121090277777775,61.18439583333333,Humidity 4
38.442125,64.25959722222223,Humidity 5
44.47498611111112,53.37097916666667,Humidity 4
24.28945091514143,75.26093178036605,Humidity 6
43.86094444444445,45.44072916666667,Humidity 3
51.76501388888889,35.51475,Humidity 2
50.53036111111111,30.9811875,Humidity 1
47.22839583333333,31.99684722222222,Humidity 1
49.99317361111111,35.303618750000005,Humidity 2
45.39443055555556,57.14357638888889,Humidity 4
43.06645138888889,59.15810416666667,Humidity 4
43.40754861111111,50.14889583333333,Humidity 3
46.80977777777778,40.14313194444445,Humidity 2
43.47030555555556,42.994125,Humidity 2
45.44541666666667,38.70326388888888,Humidity 2
45.59886805555555,38.700513888888885,Humidity 2
48.23558333333334,38.09817569444444,Humidity 2
50.8070625,40.02590277777778,Humidity 2
42.99051112656468,45.3660625,Humidity 3
39.696125,52.41728978457262,Humidity 3
39.475208333333335,52.6116875,Humidity 3
34.802083333333336,50.68718055555555,Humidity 3
41.97205555555556,48.45917361111112,Humidity 3
45.95,52.01686111111111,Humidity 3
42.8440625,52.62996527777777,Humidity 3
42.05464583333333,46.60308333333334,Humidity 3
42.29879861111111,48.47725694444444,Humidity 3
41.02654861111111,46.808416666666666,Humidity 3
35.668909722222224,51.63722916666666,Humidity 3
32.44148611111111,63.66936111111112,Humidity 5
36.39019444444444,61.13283333333333,Humidity 4
41.2050625,70.80482638888888,Humidity 5
21.114088397790056,77.0107182320442,Humidity 6
19.109270833333333,75.43002777777778,Humidity 6
32.95679166666667,72.57799305555555,Humidity 5
38.33725694444445,69.459,Humidity 5
35.238729166666666,74.1439375,Humidity 6
47.904465277777774,72.49738194444444,Humidity 5
40.25185416666667,71.47513888888889,Humidity 5
28.80428472222222,68.907125,Humidity 5
26.203569444444444,68.0651875,Humidity 5
38.01149305555556,78.25744444444445,Humidity 6
33.164145833333336,78.19689583333333,Humidity 6
40.288243055555554,69.85679166666667,Humidity 5
42.909333333333336,68.842625,Humidity 5
47.542125000000006,61.29886111111111,Humidity 4
41.57513194444444,63.25729166666667,Humidity 5
42.71929166666666,65.33240277777779,Humidity 5
45.58594444444444,61.30049305555556,Humidity 4
35.782520833333336,71.29852777777778,Humidity 5
43.981625,71.75011805555556,Humidity 5
50.90334722222223,64.13767361111111,Humidity 5
43.22997216423104,66.6724913013222,Humidity 5
37.51790277777778,68.41510416666667,Humidity 5
35.121875,76.36643055555555,Humidity 6
32.768819444444446,81.65794444444444,Humidity 6
24.74651388888889,80.46768055555556,Humidity 6
24.029611111111112,84.44614583333333,Humidity 7
35.007083333333334,79.74103472222222,Humidity 6
33.40092361111111,76.64670833333334,Humidity 6
20.68875945537065,84.99674735249621,Humidity 7
26.242395833333337,77.26309722222223,Humidity 6
38.20175694444444,71.61760416666667,Humidity 5
33.601256944444444,73.48043085476024,Humidity 6
20.20654861111111,82.23783333333333,Humidity 6
23.703125,78.22744444444444,Humidity 6
24.30340277777778,79.84534722222223,Humidity 6
21.88284942084942,72.93662548262547,Humidity 5
36.13798611111111,67.9095625,Humidity 5
38.20926388888888,69.95156944444444,Humidity 5
35.13959027777778,69.15153472222222,Humidity 5
34.97728472222222,72.31452083333333,Humidity 5
60.749,67.12702777777778,Humidity 5
44.13373611111111,72.64727777777777,Humidity 5
36.554402777777774,74.04668055555555,Humidity 6
30.77636805555556,67.78474305555555,Humidity 5
30.354597222222225,66.94829861111111,Humidity 5
18.99336805555556,81.36160416666667,Humidity 6
18.93221527777778,78.393875,Humidity 6
23.778194444444445,82.11680555555556,Humidity 6
29.56352777777778,81.33778472222222,Humidity 6
26.71140972222222,77.11727777777779,Humidity 6
33.59127083333333,77.87058333333333,Humidity 6
31.95534722222222,70.17022222222222,Humidity 5
27.448347222222225,67.14461111111112,Humidity 5
29.207173611111116,65.52362500000001,Humidity 5
33.41251388888889,71.645,Humidity 5
29.07413194444445,75.5585486111111,Humidity 6
22.71313888888889,75.04314583333334,Humidity 6
30.51480086893556,79.00259232440261,Humidity 6
31.2826875,79.12838888888889,Humidity 6
37.63666666666667,81.07904166666667,Humidity 6
42.66342361111112,72.40463194444445,Humidity 5
34.462409722222226,72.24447222222221,Humidity 5
31.37092361111111,78.7316111111111,Humidity 6
30.402270833333333,77.80799305555556,Humidity 6
26.88835416666667,79.83175121612231,Humidity 6
30.03416550764951,74.19675243393601,Humidity 6
32.78840972222222,64.51401388888888,Humidity 5
32.40528472222222,62.551763888888885,Humidity 4
36.23313888888889,62.450875,Humidity 4
33.48708333333333,65.75040277777778,Humidity 5
40.152791666666666,67.05277777777778,Humidity 5
39.56527083333333,67.33053472222223,Humidity 5
33.72535416666667,78.56127777777778,Humidity 6
33.16647916666667,76.25142361111111,Humidity 6
30.418875,79.28684027777778,Humidity 6
31.093493055555555,78.59315972222223,Humidity 6
29.13805555555556,73.56840972222221,Humidity 6
29.165444444444443,74.59313194444445,Humidity 6
32.69744444444444,68.24563888888889,Humidity 5
34.168909722222224,71.62542361111112,Humidity 5
28.965541666666663,68.01756944444445,Humidity 5
30.461305555555555,67.09186805555555,Humidity 5
29.1420625,61.61452083333334,Humidity 4
31.435319444444445,59.4888125,Humidity 4
33.832874999999994,60.932180555555554,Humidity 4
34.30513194444445,67.05917361111112,Humidity 5
16.190994475138123,88.99668508287293,Humidity 7
34.525691452397496,71.47926337734538,Humidity 5
37.92851388888889,67.86467361111112,Humidity 5
33.25427777777778,77.11197916666667,Humidity 6
23.04182638888889,80.87965277777778,Humidity 6
23.52146527777778,76.00006944444445,Humidity 6
33.71615277777778,76.5513263888889,Humidity 6
29.162694444444444,73.77720833333333,Humidity 6
35.870263888888886,70.46724999999999,Humidity 5
22.325222222222223,82.99890277777777,Humidity 6
17.497222222222224,82.73417361111112,Humidity 6
15.60669097222222,80.36313194444445,Humidity 6
13.928822299651568,78.94792361111111,Humidity 6
19.258461805555555,77.39339583333334,Humidity 6
27.30856050069541,76.51531944444444,Humidity 6
29.82270833333333,68.48753472222222,Humidity 5
37.38441666666667,63.44145138888889,Humidity 5
31.155881944444445,72.35734027777778,Humidity 5
30.743368055555557,69.27653472222222,Humidity 5
28.373631944444444,80.74953472222222,Humidity 6
23.25568055555556,77.15720833333333,Humidity 6
19.3663125,75.66484722222222,Humidity 6
15.549097222222224,75.963375,Humidity 6
16.2088125,74.47841666666666,Humidity 6
19.53570138888889,72.33528472222223,Humidity 5
18.174041666666668,87.4348611111111,Humidity 7
10.572917827298047,84.15001388888889,Humidity 7
14.35184850590688,82.86052777777778,Humidity 6
25.13354355400697,75.31068055555556,Humidity 6
25.64980448950036,75.64795800144823,Humidity 6
31.531659722222223,69.53003472222223,Humidity 5
31.371569444444443,65.45079861111111,Humidity 5
32.98795833333334,59.35580555555556,Humidity 4
33.373555555555555,46.878993055555554,Humidity 3
37.62560806115358,49.70257123002085,Humidity 3
33.23253472222222,62.01264583333334,Humidity 4
38.457125000000005,67.60386805555557,Humidity 5
38.96289583333333,70.77915972222223,Humidity 5
29.874208333333332,81.53254861111111,Humidity 6
21.734222222222225,80.26454166666667,Humidity 6
20.425317959468902,78.22030555555556,Humidity 6
16.184617258176758,77.24119444444445,Humidity 6
20.742756944444444,76.52588194444445,Humidity 6
21.65880555555556,69.72701388888889,Humidity 5
24.4300625,60.87051388888889,Humidity 4
32.456875000000004,53.956784722222224,Humidity 4
40.18366666666667,59.0091875,Humidity 4
39.71960416666667,59.717375,Humidity 4
34.48417361111111,71.39180555555555,Humidity 5
33.14384027777778,74.10925,Humidity 6
32.88072916666667,79.70449305555556,Humidity 6
17.2278517397882,82.61172465960665,Humidity 6
17.184868055555555,77.04897845726198,Humidity 6
15.048225694444444,73.2065,Humidity 6
25.583901408450703,72.75458450704225,Humidity 5
19.92018055555556,77.36265972222222,Humidity 6
20.798784722222223,75.06838194444444,Humidity 6
23.19620833333333,73.33565277777778,Humidity 6
14.319409722222222,92.78118055555557,Humidity 7
17.789777777777775,79.07060416666667,Humidity 6
21.48265277777778,72.44675000000001,Humidity 5
25.049916666666665,70.47757638888889,Humidity 5
21.80946527777778,82.84726198749132,Humidity 6
18.884631944444443,86.27429166666667,Humidity 7
19.568284722222224,80.02926388888889,Humidity 6
14.627116052814454,83.60445138888889,Humidity 7
20.282835302293257,81.89061805555556,Humidity 6
21.248860319666434,75.97297916666666,Humidity 6
29.140208333333334,67.2065486111111,Humidity 5
37.62855555555556,60.88966666666666,Humidity 4
34.13065972222223,64.65357638888888,Humidity 5
42.00321527777778,64.63933333333333,Humidity 5
44.97535416666667,53.70609027777778,Humidity 4
35.139854166666666,49.19479861111111,Humidity 3
34.65788194444444,68.37472916666667,Humidity 5
31.327361111111117,73.12039583333333,Humidity 6
24.286708333333333,71.27792361111112,Humidity 5
25.66252083333333,79.75910416666667,Humidity 6
22.762666666666664,74.58364583333334,Humidity 6
23.325229166666663,74.56966666666668,Humidity 6
27.85879166666667,65.91790972222222,Humidity 5
23.64385952208544,70.13596669080377,Humidity 5
29.35556944444444,65.15467361111111,Humidity 5
28.373055555555556,62.256409722222216,Humidity 4
25.192409722222223,57.2968125,Humidity 4
22.526027777777777,63.49444444444445,Humidity 5
22.873069444444447,64.5124375,Humidity 5
21.196875,64.82503472222223,Humidity 5
16.354479166666668,70.21245833333333,Humidity 5
17.027291666666667,66.33901388888889,Humidity 5
19.806125,66.73040972222222,Humidity 5
22.59813888888889,63.284645833333336,Humidity 5
21.193416666666668,66.06835416666667,Humidity 5
24.81572222222222,62.93656944444445,Humidity 4
25.92910416666667,54.9450625,Humidity 4
25.16539583333333,51.32599305555555,Humidity 3
26.123548611111115,51.7609375,Humidity 3
27.909770833333333,54.53288194444445,Humidity 4
27.167145833333336,59.36173731758165,Humidity 4
33.36979320531758,47.60163355408389,Humidity 3
36.58883089770355,45.64562282533055,Humidity 3
32.025777777777776,45.44378472222223,Humidity 3
30.56284722222222,60.14836111111111,Humidity 4
25.104875,68.14249305555556,Humidity 5
23.709993055555557,60.38153472222223,Humidity 4
25.29263888888889,56.12334027777778,Humidity 4
24.49093055555556,48.84399305555556,Humidity 3
22.230256944444445,42.843916666666665,Humidity 2
24.762416666666663,44.448506944444446,Humidity 3
31.744728457639397,50.70933381607531,Humidity 3
30.100694444444443,62.36424305555556,Humidity 4
27.539583333333333,62.88744444444444,Humidity 4
35.753236111111114,54.344458333333336,Humidity 4
36.71118055555556,45.165819444444445,Humidity 3
45.00276388888889,23.385,Humidity 1
42.50246527777778,27.65463516330785,Humidity 1
42.22634027777778,51.29478472222223,Humidity 3
40.31036805555556,52.82500694444444,Humidity 3
38.49885416666667,55.69468055555555,Humidity 4
34.491166666666665,54.53590277777778,Humidity 4
32.07825,42.73338888888889,Humidity 2
28.6599375,47.18340972222222,Humidity 3
36.17859722222222,40.60570138888889,Humidity 2
30.55161805555556,52.0568125,Humidity 3
33.233645833333334,52.38254861111111,Humidity 3
25.9076875,69.51784027777778,Humidity 5
26.71636805555556,75.21783333333333,Humidity 6
32.876201388888894,61.38111111111111,Humidity 4
45.484631944444445,46.11308333333333,Humidity 3
52.02514583333334,36.8673125,Humidity 2
48.33290277777778,47.17225694444445,Humidity 3
57.25498611111111,39.64304861111111,Humidity 2
61.173902777777776,35.0955,Humidity 2
57.80980555555555,42.82765972222222,Humidity 2
52.135645833333335,48.619638888888886,Humidity 3
36.00194675540765,69.74379367720465,Humidity 5
40.048145833333336,42.11813888888889,Humidity 2
41.41460416666666,42.79142361111112,Humidity 2
38.88227083333334,43.79743055555556,Humidity 3
38.95588888888889,43.775354166666666,Humidity 3
37.63310416666666,42.78638888888889,Humidity 2
39.93408333333333,39.37332638888888,Humidity 2
39.06909722222223,35.27273611111111,Humidity 2
40.37890972222222,34.65390277777778,Humidity 2
38.0923125,37.78327083333333,Humidity 2
35.65232638888889,40.88701388888889,Humidity 2
35.876756944444445,36.75215277777777,Humidity 2
40.032868055555554,35.85040972222222,Humidity 2
40.04170138888889,39.99531944444445,Humidity 2
33.581867219917015,55.49946058091287,Humidity 4
41.92834027777778,33.68530555555555,Humidity 2
33.664145833333336,42.268505906879774,Humidity 2
32.006076388888886,40.07615277777778,Humidity 2
