Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Visibility,Visibility_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,deg,mm,hPa,W/m^2,m,m
2017-06-01 00:00:00,17.55,70.89,1.96,null,79.65,8.78,0.0,809.0,-1.372,null,20000.0
2017-06-01 00:01:00,17.55,70.92,2.268,null,79.5,3.593,0.0,809.0,-1.475,null,19397.2
2017-06-01 00:02:00,17.55,70.98,2.663,null,76.5,10.14,0.0,809.0,-1.818,null,20000.0
2017-06-01 00:03:00,17.55,70.93,1.785,null,78.67,10.24,0.0,809.0,-1.612,null,20000.0
2017-06-01 00:04:00,17.55,70.88,1.54,null,98.2,20.31,0.0,809.0,-1.406,null,20000.0
2017-06-01 00:05:00,17.55,70.87,1.085,null,69.09,43.96,0.0,809.0,-1.166,null,20000.0
2017-06-01 00:06:00,17.56,70.88,2.733,null,56.33,12.1,0.0,809.0,-1.475,null,20000.0
2017-06-01 00:07:00,17.56,70.9,2.527,null,60.48,10.71,0.0,809.0,-1.475,null,20000.0
2017-06-01 00:08:00,17.52,70.98,2.952,null,54.63,13.76,0.0,809.0,-1.681,null,20000.0
2017-06-01 00:09:00,17.51,70.98,2.178,null,46.99,6.162,0.0,809.0,-1.784,null,20000.0
2017-06-01 00:10:00,17.51,71.01,2.405,null,58.87,10.51,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:11:00,17.52,71.01,1.773,null,74.0,7.022,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:12:00,17.48,71.14,2.307,null,93.7,4.569,0.0,809.0,-1.372,null,20000.0
2017-06-01 00:13:00,17.45,71.35,2.447,null,101.2,8.15,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:14:00,17.47,71.32,2.438,null,82.3,5.674,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:15:00,17.47,71.38,2.165,null,76.17,4.945,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:16:00,17.46,71.4,2.012,null,70.98,11.03,0.0,809.0,-1.372,null,20000.0
2017-06-01 00:17:00,17.45,71.39,2.052,null,76.61,15.75,0.0,809.0,-1.338,null,20000.0
2017-06-01 00:18:00,17.43,71.45,1.432,null,61.42,20.49,0.0,809.0,-1.063,null,20000.0
2017-06-01 00:19:00,17.43,71.55,2.17,null,50.82,8.0,0.0,809.0,-1.235,null,20000.0
2017-06-01 00:20:00,17.41,71.57,2.723,null,51.48,15.38,0.0,809.0,-1.509,null,20000.0
2017-06-01 00:21:00,17.42,71.52,2.5,null,63.24,19.1,0.0,809.0,-1.578,null,20000.0
2017-06-01 00:22:00,17.43,71.53,1.842,null,72.07,14.18,0.0,809.0,-1.475,null,20000.0
2017-06-01 00:23:00,17.42,71.5,1.683,null,54.99,16.62,0.0,809.0,-1.166,null,20000.0
2017-06-01 00:24:00,17.41,71.47,3.26,null,97.4,15.47,0.0,809.0,-1.338,null,20000.0
2017-06-01 00:25:00,17.41,71.45,2.73,null,115.7,9.18,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:26:00,17.42,71.56,3.473,null,113.2,10.04,0.0,809.0,-1.749,null,20000.0
2017-06-01 00:27:00,17.42,71.51,3.308,null,92.8,7.127,0.0,809.0,-1.509,null,20000.0
2017-06-01 00:28:00,17.4,71.49,2.388,null,90.5,18.12,0.0,809.0,-1.475,null,20000.0
2017-06-01 00:29:00,17.42,71.5,1.985,null,80.8,12.65,0.0,809.0,-1.304,null,20000.0
2017-06-01 00:30:00,17.43,71.58,2.353,null,78.82,9.22,0.0,809.0,-1.269,null,20000.0
2017-06-01 00:31:00,17.42,71.63,2.162,null,80.7,8.15,0.0,809.0,-1.269,null,20000.0
2017-06-01 00:32:00,17.41,71.6,2.907,null,79.5,3.989,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:33:00,17.41,71.55,2.687,null,61.38,14.95,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:34:00,17.43,71.5,1.678,null,97.6,9.48,0.0,809.0,-1.132,null,20000.0
2017-06-01 00:35:00,17.4,71.54,2.123,null,85.9,12.18,0.0,809.0,-1.098,null,20000.0
2017-06-01 00:36:00,17.36,71.53,2.818,null,62.66,4.568,0.0,809.0,-1.406,null,20000.0
2017-06-01 00:37:00,17.37,71.56,2.54,null,81.4,10.54,0.0,809.0,-1.441,null,20000.0
2017-06-01 00:38:00,17.38,71.49,2.76,null,79.55,13.14,0.0,809.0,-1.372,null,20000.0
2017-06-01 00:39:00,17.37,71.45,3.56,null,83.8,7.685,0.0,809.0,-1.749,null,20000.0
2017-06-01 00:40:00,17.36,71.39,3.212,null,87.2,6.413,0.0,809.0,-1.647,null,20000.0
2017-06-01 00:41:00,17.37,71.37,2.403,null,70.87,16.21,0.0,809.0,-1.475,null,20000.0
2017-06-01 00:42:00,17.38,71.39,2.32,null,93.6,13.57,0.0,809.0,-1.201,null,20000.0
2017-06-01 00:43:00,17.37,71.43,3.13,null,84.8,13.6,0.0,809.0,-1.269,null,20000.0
2017-06-01 00:44:00,17.37,71.46,2.137,null,71.84,6.464,0.0,809.0,-1.338,null,20000.0
2017-06-01 00:45:00,17.37,71.47,2.28,null,80.8,14.22,0.0,809.0,-1.269,null,20000.0
2017-06-01 00:46:00,17.38,71.5,3.048,null,60.89,11.4,0.0,809.0,-1.338,null,20000.0
2017-06-01 00:47:00,17.37,71.49,2.568,null,64.13,14.94,0.0,809.0,-1.406,null,20000.0
2017-06-01 00:48:00,17.36,71.53,3.137,null,52.83,8.92,0.0,809.0,-1.132,null,20000.0
2017-06-01 00:49:00,17.33,71.66,3.425,null,66.62,13.58,0.0,809.0,-1.269,null,20000.0
2017-06-01 00:50:00,17.33,71.86,3.703,null,77.53,9.74,0.0,809.0,-1.338,null,20000.0
2017-06-01 00:51:00,17.33,71.92,4.123,null,74.77,14.17,0.0,809.0,-1.372,null,20000.0
2017-06-01 00:52:00,17.27,72.02,3.848,null,68.84,6.643,0.0,809.0,-1.235,null,20000.0
2017-06-01 00:53:00,17.28,72.14,3.652,null,72.67,3.681,0.0,809.0,-1.063,null,20000.0
2017-06-01 00:54:00,17.24,72.25,4.245,null,74.77,15.1,0.0,809.0,-1.235,null,20000.0
2017-06-01 00:55:00,17.23,72.27,2.682,null,65.28,20.0,0.0,809.0,-0.96,null,20000.0
2017-06-01 00:56:00,17.2,72.32,2.838,null,63.67,10.29,0.0,809.0,-0.755,null,20000.0
2017-06-01 00:57:00,17.19,72.43,3.858,null,71.22,9.57,0.0,809.0,-0.926,null,20000.0
2017-06-01 00:58:00,17.14,72.51,4.083,null,78.17,3.932,0.0,809.0,-1.029,null,20000.0
2017-06-01 00:59:00,17.14,72.6,3.243,null,83.2,7.494,0.0,809.0,-1.029,null,20000.0
2017-06-01 01:00:00,17.15,72.64,2.863,null,71.78,15.86,0.0,809.0,-1.029,null,20000.0
2017-06-01 01:01:00,17.14,72.67,3.692,null,87.5,13.22,0.0,809.0,-0.858,null,20000.0
2017-06-01 01:02:00,17.11,72.73,4.32,null,75.0,10.69,0.0,809.0,-1.235,null,20000.0
2017-06-01 01:03:00,17.1,72.79,3.955,null,95.3,7.034,0.0,809.0,-0.96,null,20000.0
2017-06-01 01:04:00,17.05,72.97,4.265,null,84.8,5.813,0.0,809.0,-1.235,null,20000.0
2017-06-01 01:05:00,17.05,73.03,3.163,null,73.12,25.38,0.0,809.0,-0.858,null,20000.0
2017-06-01 01:06:00,17.02,73.11,2.725,null,82.8,8.61,0.0,809.0,-0.755,null,20000.0
2017-06-01 01:07:00,17.01,73.21,3.33,null,92.5,16.19,0.0,809.0,-0.995,null,20000.0
2017-06-01 01:08:00,17.0,73.23,4.813,null,73.18,8.91,0.0,809.0,-1.372,null,20000.0
2017-06-01 01:09:00,17.01,73.31,5.005,null,79.67,8.44,0.0,809.0,-1.406,null,20000.0
2017-06-01 01:10:00,16.99,73.32,3.688,null,85.9,11.87,0.0,809.0,-1.235,null,20000.0
2017-06-01 01:11:00,16.96,73.4,3.745,null,85.8,12.09,0.0,809.0,-1.098,null,20000.0
2017-06-01 01:12:00,16.95,73.43,3.763,null,91.0,8.28,0.0,808.0,-1.132,null,20000.0
2017-06-01 01:13:00,16.95,73.48,3.28,null,85.2,7.265,0.0,808.0,-1.029,null,20000.0
2017-06-01 01:14:00,16.91,73.57,3.475,null,90.7,10.23,0.0,808.0,-0.995,null,20000.0
2017-06-01 01:15:00,16.88,73.64,4.13,null,78.84,9.46,0.0,808.0,-1.132,null,20000.0
