Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Visibility_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,deg,mm,hPa,W/m^2,m
2021-02-01 00:00:00,13.13,67.81,1.333,2.17,180.5,49.51,0.0,813.405,-1.338,null
2021-02-01 00:01:00,13.14,67.85,2.548,2.86,161.4,12.32,0.0,813.405,-1.647,null
2021-02-01 00:02:00,13.13,67.89,2.072,2.82,170.5,18.55,0.0,813.404,-1.544,null
2021-02-01 00:03:00,13.13,67.98,2.178,3.14,176.5,15.24,0.0,813.381,-1.715,null
2021-02-01 00:04:00,13.13,68.07,2.34,3.09,193.3,13.58,0.0,813.378,-1.784,null
2021-02-01 00:05:00,13.13,68.06,3.003,3.4,183.8,22.52,0.0,813.342,-2.058,null
2021-02-01 00:06:00,13.13,68.01,2.153,3.18,145.9,13.34,0.0,813.346,-1.715,null
2021-02-01 00:07:00,13.13,68.0,1.475,2.25,179.8,8.25,0.0,813.369,-1.407,null
2021-02-01 00:08:00,13.13,68.04,2.007,2.99,184.4,23.5,0.0,813.336,-1.372,null
2021-02-01 00:09:00,13.14,68.08,1.843,2.32,163.9,12.42,0.0,813.359,-1.578,null
2021-02-01 00:10:00,13.1,68.14,1.64,2.34,200.6,20.1,0.0,813.31,-1.578,null
2021-02-01 00:11:00,13.09,68.3,1.098,1.78,171.1,29.66,0.0,813.343,-1.304,null
2021-02-01 00:12:00,13.09,68.38,0.822,1.26,111.2,20.34,0.0,813.425,-1.235,null
2021-02-01 00:13:00,13.09,68.32,1.648,2.97,260.7,10.89,0.0,813.333,-1.029,null
2021-02-01 00:14:00,13.06,68.34,2.317,2.93,205.7,20.98,0.0,813.297,-1.715,null
2021-02-01 00:15:00,13.04,68.55,1.828,2.58,175.7,15.66,0.0,813.376,-2.058,null
2021-02-01 00:16:00,13.04,68.61,2.443,3.41,194.1,25.57,0.0,813.376,-1.784,null
2021-02-01 00:17:00,13.04,68.61,1.987,2.79,189.1,18.96,0.0,813.343,-2.058,null
2021-02-01 00:18:00,13.04,68.49,1.342,1.84,281.5,35.03,0.0,813.294,-1.544,null
2021-02-01 00:19:00,13.04,68.62,1.435,1.86,203.8,14.04,0.0,813.274,-1.647,null
2021-02-01 00:20:00,13.04,68.6,0.732,1.07,178.8,33.19,0.0,813.323,-1.304,null
2021-02-01 00:21:00,13.04,68.56,1.007,1.41,202.9,14.16,0.0,813.352,-1.235,null
2021-02-01 00:22:00,13.01,68.7,1.737,3.81,237.7,45.29,0.0,813.319,-1.304,null
2021-02-01 00:23:00,13.0,68.76,3.135,3.57,234.7,5.527,0.0,813.237,-2.127,null
2021-02-01 00:24:00,13.0,68.7,4.675,5.56,222.2,8.11,0.0,813.183,-2.985,null
2021-02-01 00:25:00,13.03,68.52,3.493,5.44,183.9,18.48,0.0,813.192,-2.882,null
2021-02-01 00:26:00,13.05,68.48,3.622,5.09,170.7,5.435,0.0,813.215,-3.053,null
2021-02-01 00:27:00,13.04,68.49,2.14,3.14,181.2,12.37,0.0,813.203,-2.161,null
2021-02-01 00:28:00,13.09,68.41,1.725,3.02,199.9,21.08,0.0,813.177,-1.475,null
2021-02-01 00:29:00,13.09,68.33,1.515,2.95,201.1,48.41,0.0,813.184,-1.509,null
2021-02-01 00:30:00,13.09,68.25,1.653,3.9,217.9,11.77,0.0,813.194,-1.407,null
2021-02-01 00:31:00,13.09,68.14,1.863,3.51,206.6,18.4,0.0,813.189,-1.441,null
2021-02-01 00:32:00,13.09,68.13,1.933,2.72,248.6,25.34,0.0,813.178,-1.647,null
2021-02-01 00:33:00,13.09,68.1,2.078,2.68,246.4,11.63,0.0,813.148,-1.647,null
2021-02-01 00:34:00,13.09,68.09,2.73,4.77,201.5,19.02,0.0,813.188,-1.921,null
2021-02-01 00:35:00,13.09,68.04,2.467,3.13,196.0,12.82,0.0,813.223,-1.853,null
2021-02-01 00:36:00,13.07,68.02,2.308,2.93,185.5,8.91,0.0,813.226,-1.544,null
2021-02-01 00:37:00,13.01,68.15,2.392,3.83,190.5,14.79,0.0,813.246,-1.269,null
2021-02-01 00:38:00,12.95,68.34,2.743,3.56,198.0,7.157,0.0,813.2,-1.338,null
2021-02-01 00:39:00,12.92,68.51,3.38,3.87,208.8,9.19,0.0,813.147,-1.647,null
2021-02-01 00:40:00,12.91,68.66,3.675,5.41,213.7,25.96,0.0,813.183,-2.47,null
2021-02-01 00:41:00,12.94,68.9,1.242,2.12,131.2,74.69,0.0,813.246,-1.544,null
2021-02-01 00:42:00,13.01,68.72,0.605,1.24,91.2,67.44,0.0,813.213,-1.201,null
2021-02-01 00:43:00,13.04,68.44,1.215,1.66,333.2,40.49,0.0,813.246,-1.166,null
2021-02-01 00:44:00,13.09,68.3,1.112,2.04,265.4,47.09,0.0,813.224,-1.201,null
2021-02-01 00:45:00,13.09,68.22,2.58,3.23,204.3,11.13,0.0,813.135,-1.647,null
2021-02-01 00:46:00,13.09,68.16,2.803,4.93,196.7,16.27,0.0,813.017,-2.367,null
2021-02-01 00:47:00,13.09,68.19,2.8,4.85,177.3,13.35,0.0,813.085,-2.436,null
2021-02-01 00:48:00,13.09,68.37,1.635,3.13,144.7,8.58,0.0,813.15,-1.681,null
2021-02-01 00:49:00,13.09,68.33,0.833,1.18,128.0,28.26,0.0,813.213,-1.166,null
2021-02-01 00:50:00,13.09,68.28,0.995,2.58,253.1,50.22,0.0,813.23,-0.823,null
2021-02-01 00:51:00,13.07,68.22,2.312,2.66,251.9,9.86,0.0,813.112,-1.166,null
2021-02-01 00:52:00,13.02,68.32,1.768,2.27,233.9,27.65,0.0,813.056,-1.269,null
