Fecha,SolarRadiation
2018-03-02,257.3333333333333
2018-03-03,277.2083333333333
2018-03-04,267.9166666666667
2018-03-05,255.625
2018-03-06,238.79166666666666
2018-03-07,276.625
2018-03-08,258.9583333333333
2018-03-09,240.95833333333334
2018-03-10,295.625
2018-03-11,293.1666666666667
2018-03-12,272.75
2018-03-13,292.9166666666667
2018-03-14,288.5833333333333
2018-03-15,281.5833333333333
2018-03-16,284.9583333333333
2018-03-17,281.8333333333333
2018-03-18,251.875
2018-03-19,307.3333333333333
2018-03-20,291.375
2018-03-21,282.4583333333333
2018-03-22,298.5
2018-03-23,306.4166666666667
2018-03-24,284.2916666666667
2018-03-25,312.2083333333333
2018-03-26,301.2916666666667
2018-03-27,304.125
2018-03-28,307.5
2018-03-29,314.6666666666667
2018-03-30,272.375
2018-03-31,308.3333333333333
2018-04-01,286.6666666666667
2018-04-02,237.45833333333334
2018-04-03,294.375
2018-04-04,283.2083333333333
2018-04-05,274.1666666666667
2018-04-06,295.8333333333333
2018-04-07,315.4583333333333
2018-04-08,318.125
2018-04-09,299.2083333333333
2018-04-10,285.375
2018-04-11,212.54166666666666
2018-04-12,230.91666666666666
2018-04-13,223.66666666666666
2018-04-14,330.875
2018-04-15,315.8333333333333
2018-04-16,282.375
2018-04-17,273.0
2018-04-18,84.94444444444444
2018-04-19,321.4166666666667
2018-04-20,281.875
2018-04-21,249.08333333333334
2018-04-22,232.79166666666666
2018-04-23,221.16666666666666
2018-04-24,250.5
2018-04-25,280.3333333333333
2018-04-26,272.5833333333333
2018-04-27,327.875
2018-04-28,322.0416666666667
2018-04-29,324.0416666666667
2018-04-30,212.83333333333334
2018-05-01,164.66666666666666
2018-05-02,269.6666666666667
2018-05-03,213.29166666666666
2018-05-04,273.9583333333333
2018-05-05,237.45833333333334
2018-05-06,221.16666666666666
2018-05-07,274.9166666666667
2018-05-08,182.16666666666666
2018-05-09,258.3333333333333
2018-05-10,305.6666666666667
2018-05-11,268.3333333333333
2018-05-12,285.8333333333333
2018-05-13,250.875
2018-05-14,245.70833333333334
2018-05-15,318.4583333333333
2018-05-16,301.1666666666667
2018-05-17,262.125
2018-05-18,237.79166666666666
2018-05-19,315.8333333333333
2018-05-20,245.95833333333334
2018-05-21,229.375
2018-05-22,292.75
2018-05-23,291.125
2018-05-24,292.4166666666667
2018-05-25,312.8333333333333
2018-05-26,340.625
2018-05-27,339.5
2018-05-28,335.2916666666667
2018-05-29,320.7083333333333
2018-05-30,322.2916666666667
2018-05-31,337.5
2018-06-01,342.375
2018-06-02,334.7916666666667
2018-06-03,286.125
2018-06-04,325.5416666666667
2018-06-05,296.6666666666667
2018-06-06,312.875
2018-06-07,320.8333333333333
2018-06-08,294.3333333333333
2018-06-09,226.95833333333334
2018-06-10,277.0
2018-06-11,234.08333333333334
2018-06-12,159.20833333333334
2018-06-13,112.08333333333333
2018-06-14,232.0
2018-06-15,130.79166666666666
2018-06-16,192.75
2018-06-17,201.79166666666666
2018-06-18,119.75
2018-06-19,145.41666666666666
2018-06-20,217.41666666666666
2018-06-21,230.0
2018-06-22,317.25
2018-06-23,269.75
2018-06-24,236.5
2018-06-25,175.33333333333334
2018-06-26,179.54166666666666
2018-06-27,235.95833333333334
2018-06-28,171.41666666666666
2018-06-29,260.5
2018-06-30,293.5
2018-07-01,281.4583333333333
2018-07-02,246.33333333333334
2018-07-03,231.95833333333334
2018-07-04,328.9583333333333
2018-07-05,264.875
2018-07-06,292.0416666666667
2018-07-07,241.58333333333334
2018-07-08,146.79166666666666
2018-07-09,246.08333333333334
2018-07-10,152.33333333333334
2018-07-11,183.33333333333334
2018-07-12,243.875
2018-07-13,237.20833333333334
2018-07-14,277.4166666666667
2018-07-15,286.9583333333333
2018-07-16,203.75
2018-07-17,232.08333333333334
2018-07-18,325.0
2018-07-19,307.75
2018-07-20,239.70833333333334
2018-07-21,313.9166666666667
2018-07-22,288.2916666666667
2018-07-23,221.5
2018-07-24,276.5833333333333
2018-07-25,262.0
2018-07-26,231.70833333333334
2018-07-27,270.5833333333333
2018-07-28,206.16666666666666
2018-07-29,306.4583333333333
2018-07-30,337.3333333333333
2018-07-31,246.58333333333334
2018-08-01,281.7916666666667
2018-08-02,263.5
2018-08-03,256.25
2018-08-04,233.5
2018-08-05,151.29166666666666
2018-08-06,194.54166666666666
2018-08-07,231.75
2018-08-08,272.375
2018-08-09,201.70833333333334
2018-08-10,198.75
2018-08-11,211.70833333333334
2018-08-12,170.95833333333334
2018-08-13,138.625
2018-08-14,259.0833333333333
2018-08-15,186.0
2018-08-16,251.79166666666666
2018-08-17,303.0416666666667
2018-08-18,278.7916666666667
2018-08-19,245.0
2018-08-20,298.0833333333333
2018-08-21,157.29166666666666
2018-08-22,287.0416666666667
2018-08-23,237.25
2018-08-24,194.125
2018-08-25,214.04166666666666
2018-08-26,249.04166666666666
2018-08-27,246.20833333333334
2018-08-28,180.66666666666666
2018-08-29,199.54166666666666
2018-08-30,216.5
2018-08-31,231.45833333333334
2018-09-01,268.5
2018-09-02,255.875
2018-09-03,214.45833333333334
2018-09-04,210.625
2018-09-05,184.45833333333334
2018-09-06,154.875
2018-09-07,238.625
2018-09-08,246.25
2018-09-09,240.54166666666666
2018-09-10,247.95833333333334
2018-09-11,241.0
2018-09-12,201.5
2018-09-13,181.58333333333334
2018-09-14,269.0
2018-09-15,229.16666666666666
2018-09-16,224.54166666666666
2018-09-17,152.04166666666666
2018-09-18,150.91666666666666
2018-09-19,237.375
2018-09-20,264.9583333333333
2018-09-21,205.45833333333334
