Year,Month,Day,O3,NO2,NO,CO,PM10,PM2.5,Temp_Avg,RH_Avg,WSpeed_Avg,WDir_Avg,Press_Avg,Rad_Avg,Rain_Tot
2023,5,1,42.098597222222224,2.3770416666666665,0.37870138888888893,0.26990277777777777,32.47649305555556,20.131194444444443,19.830513888888888,29.753888888888888,2.439608333333333,154.9668951388889,804.31456875,630.2644656679151,0.0
2023,5,2,44.56038888888889,1.8896458333333335,0.21548611111111113,0.24455555555555558,28.960708333333333,18.76564880112835,20.91611111111111,27.642534722222223,2.8839902777777775,231.1536215277778,803.9256493055556,659.373537772087,0.0
2023,5,3,50.77761805555556,4.491722222222222,0.7455138888888888,0.39774305555555556,49.59722222222222,35.02185416666667,21.35772916666667,30.954847222222224,1.604234027777778,178.25175208333332,803.7674999999999,485.72543456162646,0.0
2023,5,4,50.88180555555556,4.101944444444444,0.4556458333333333,0.3846805555555556,48.555437500000004,35.872395833333336,21.968729166666666,35.661208333333335,1.7296888888888888,183.15014444444444,804.8702986111111,422.33630100755664,0.0
2023,5,5,52.67316666666667,4.675541666666667,0.4585208333333333,0.44265972222222216,52.81763194444444,41.23072916666667,21.668756944444443,42.64975,1.900279861111111,137.41952708333335,805.9301090277778,449.4365586034913,0.2
2023,5,6,50.357875,6.923284722222222,0.8848541666666667,0.4577569444444444,46.85788888888889,36.007222222222225,21.433430555555557,44.23875,1.5574215277777776,141.11993263888888,806.0119166666666,393.3348205771644,0.0
2023,5,7,46.95279166666667,6.002229166666666,0.3478611111111111,0.45014583333333336,52.80979861111111,40.22398611111111,21.583256944444443,44.02352777777777,1.3942291666666666,155.85073055555554,805.8263833333334,392.56532103321035,0.0
2023,5,8,41.35171527777778,6.667770833333334,0.6031875,0.42475694444444445,48.807604166666664,34.79241666666667,20.65945138888889,44.56872222222222,1.9686993055555557,180.40272222222222,805.7874215277778,345.9583585858586,0.0
2023,5,9,44.57420138888889,4.005298611111111,0.4365277777777778,0.34195833333333336,43.32951388888889,33.46542361111111,21.214986111111113,42.72382638888889,1.9831083333333333,182.6358548611111,805.8587208333333,452.28029987608426,0.30000000000000004
2023,5,10,44.63125,3.8986041666666664,0.3894444444444445,0.3641388888888889,50.092326388888885,43.09247222222223,20.41241666666667,49.10660416666666,2.142432638888889,171.03776666666667,805.1807041666666,400.5215531914894,0.1
2023,5,11,47.644173611111114,3.0966875,0.7010555555555555,0.2911875,37.222631944444444,27.280881944444445,21.789166666666667,41.327986111111116,2.2639194444444444,204.89789027777778,803.9017479166666,586.7699506781751,0.0
2023,5,12,36.44812872467223,4.395089392133492,0.5883909415971394,0.32333730631704405,45.174266984505365,35.01194278903456,18.641525625744933,63.61988081048868,1.257320619785459,130.6223337306317,804.0738295589988,397.36871518987346,0.0
2023,5,16,46.36608993902439,2.2843589743589745,0.20592760180995476,0.22343891402714935,31.091493212669683,19.962352941176473,20.21846153846154,41.86745098039216,3.480975867269985,186.72464705882354,806.1482156862745,180.4219492385787,0.0
2023,5,17,46.613937500000006,3.645020833333333,0.5236666666666667,0.30375694444444445,31.02976388888889,22.253416666666666,19.80740972222222,45.45894444444444,1.761220138888889,153.2320611111111,805.5644611111111,503.9943180693069,0.0
2023,5,18,45.31896527777778,4.681861111111111,0.6295694444444445,0.34573611111111113,42.706263888888884,28.43027777777778,19.75925,48.728430555555555,1.7592833333333333,159.12336319444447,805.3604819444445,407.45275,0.0
2023,5,19,48.07225694444445,4.805312499999999,0.45392361111111107,0.3212013888888889,32.69710416666667,24.928187499999996,20.78097916666667,50.423409722222225,1.9482805555555556,139.69213680555555,807.5352534722222,449.3008452237001,0.2
2023,5,20,50.62408333333333,5.981333333333334,0.32680555555555557,0.3175277777777778,33.72278472222222,25.96834722222222,19.64871527777778,58.56954861111111,2.3562659722222223,88.97111041666668,808.3285201388888,354.1508051470588,0.0
2023,5,21,45.812041666666666,4.747215277777777,0.3326388888888889,0.31903472222222223,31.086604166666667,24.0875,20.193229166666665,59.9438125,1.6810118055555556,155.3656340277778,806.5818194444445,400.42493773349935,0.7000000000000001
2023,5,22,49.121090277777775,5.233097222222222,0.4217916666666667,0.3735347222222222,37.117875,32.778125,20.805423611111113,61.18439583333333,1.4989256944444445,152.6842375,805.6861569444445,432.48748170731704,2.3
2023,5,23,38.442125000000004,7.549291666666666,0.6547708333333333,0.43175,41.065152777777776,35.881750000000004,20.4874375,64.25959722222223,1.501865277777778,162.91542847222223,805.5149076388889,331.4047229813665,15.8
2023,5,24,44.474986111111114,5.289222222222222,0.6373680555555556,0.3871597222222222,38.50289583333333,32.96024305555556,22.1523125,53.37097916666667,1.8201861111111113,146.52716875,804.3513090277778,532.6010277108434,0.0
2023,5,25,24.28945091514143,9.105973377703826,1.2356905158069884,0.42821963394342766,42.69349417637272,36.088901830282865,17.73640599001664,75.26093178036605,0.7467587354409319,123.70816472545758,804.0290382695507,352.6124522821577,0.0
2023,6,1,43.86094444444445,3.565201388888889,0.4847361111111111,0.28125,34.83016666666667,26.435868055555556,22.485138888888887,45.44072916666667,2.481284027777778,165.8309625,804.3537409722223,607.3598472906403,0.0
2023,6,2,51.76501388888889,4.1243125,0.5672986111111111,0.30968055555555557,44.77047916666667,36.33820138888889,23.685541666666666,35.51475,2.0173777777777775,161.1690201388889,803.7832027777778,605.5057121771217,0.0
2023,6,3,50.53036111111111,3.3912708333333335,0.25750521195274495,0.3044513888888889,39.93029166666667,32.5265625,24.319590277777777,30.9811875,1.738963888888889,158.42026388888888,802.8927722222222,628.1557985166874,0.0
