Fecha,NO
2008-11-01,2.5416666666666665
2008-11-02,2.476190476190476
2008-11-03,4.0
2008-11-04,3.5000000000000004
2008-11-05,3.4782608695652177
2008-11-06,3.2916666666666665
2008-11-07,1.9523809523809523
2008-11-08,2.35
2008-11-09,0.13043478260869568
2008-11-10,-2.3333333333333335
2008-11-11,-1.0476190476190477
2008-11-12,0.7619047619047618
2008-11-13,5.875000000000001
2008-11-14,6.857142857142858
2008-11-18,13.100000000000001
2008-11-19,13.541666666666668
2008-11-20,16.791666666666668
2008-11-21,12.291666666666666
2008-11-22,10.291666666666666
2008-11-23,11.416666666666668
2008-11-24,12.458333333333334
2008-11-25,8.958333333333334
2008-11-26,11.375000000000002
2008-11-27,11.166666666666666
2008-11-28,10.636363636363637
2008-12-01,8.818181818181818
2008-12-02,10.958333333333334
2008-12-03,9.708333333333334
2008-12-04,12.75
2008-12-05,12.833333333333334
2008-12-06,13.708333333333334
2008-12-07,14.333333333333332
2008-12-08,11.777777777777777
2008-12-09,12.652173913043477
2008-12-10,8.8125
2008-12-11,16.166666666666664
2008-12-12,14.791666666666666
2008-12-13,8.0
2008-12-14,7.083333333333333
2008-12-15,10.708333333333334
2008-12-16,12.75
2008-12-17,11.083333333333334
2008-12-18,11.46153846153846
2008-12-19,14.291666666666668
2008-12-20,13.833333333333334
2008-12-21,12.249999999999998
2008-12-22,11.000000000000002
2008-12-23,8.958333333333334
2008-12-24,10.25
2008-12-25,8.095238095238095
2008-12-26,8.083333333333332
2008-12-27,7.681818181818181
2008-12-28,6.227272727272728
2008-12-29,9.083333333333334
2008-12-30,9.625
2008-12-31,11.916666666666666
2009-01-01,10.083333333333332
2009-01-02,8.958333333333334
2009-01-03,7.5
2009-01-04,6.75
2009-01-05,8.749999999999998
2009-01-06,7.083333333333334
2009-01-07,9.208333333333334
2009-01-08,11.874999999999998
2009-01-09,9.75
2009-01-10,11.166666666666666
2009-01-11,8.041666666666668
2009-01-12,8.583333333333334
2009-01-13,10.583333333333334
2009-01-14,10.416666666666666
2009-01-15,13.458333333333334
2009-01-16,6.791666666666667
2009-01-17,6.000000000000001
2009-01-19,12.384615384615385
2009-01-20,9.75
2009-01-21,8.041666666666668
2009-01-22,8.749999999999998
2009-01-23,9.416666666666666
2009-01-24,10.708333333333334
2009-01-25,7.249999999999999
2009-01-26,7.083333333333334
2009-01-27,7.041666666666668
2009-01-28,7.625
2009-01-29,5.666666666666667
2009-01-30,5.750000000000001
2009-01-31,5.291666666666667
2009-02-01,3.6521739130434785
2009-02-02,4.875
2009-02-03,6.666666666666667
2009-02-04,6.249999999999999
2009-02-05,5.750000000000001
2009-02-06,7.875
2009-02-07,7.875
2009-02-08,6.0476190476190474
2009-02-09,4.181818181818182
2009-02-10,3.8095238095238093
2009-02-11,5.375
2009-02-12,7.458333333333333
2009-02-13,6.583333333333333
2009-02-14,6.083333333333333
2009-02-15,4.166666666666667
2009-02-16,3.956521739130435
2009-02-17,5.708333333333334
2009-02-18,6.124999999999999
2009-02-19,6.666666666666667
2009-02-20,5.916666666666666
2009-02-21,-1.0434782608695654
2009-02-22,-1.2941176470588234
2009-02-23,0.21052631578947373
2009-02-24,1.4761904761904763
2009-02-25,3.3333333333333335
2009-02-27,2.0
2009-02-28,2.2173913043478266
2009-03-01,1.7142857142857144
2009-03-02,0.8823529411764707
2009-03-03,1.0
2009-03-04,1.6818181818181817
2009-03-05,1.5217391304347827
2009-03-06,2.0952380952380953
2009-03-07,2.0526315789473686
2009-03-08,1.7222222222222223
2009-03-09,0.9473684210526316
2009-03-10,3.8333333333333335
2009-03-11,8.956521739130434
2009-03-12,3.6666666666666665
2009-03-13,2.8333333333333335
2009-03-14,3.375
2009-03-15,3.714285714285715
2009-03-17,3.416666666666667
2009-03-18,2.8750000000000004
2009-03-19,3.2083333333333335
2009-03-20,2.416666666666667
2009-03-21,2.565217391304348
2009-03-22,3.1666666666666665
2009-03-23,2.7083333333333335
2009-03-24,2.6956521739130435
2009-03-25,2.285714285714286
2009-03-26,1.8181818181818181
2009-03-27,2.076923076923077
2009-03-28,2.375
2009-03-29,1.875
2009-03-30,1.6956521739130435
2009-03-31,2.2916666666666665
2009-04-01,2.0
2009-04-02,1.625
2009-04-03,1.523809523809524
2009-04-04,1.8636363636363638
2009-04-05,2.2173913043478266
2009-04-06,2.2173913043478266
2009-04-07,2.5
2009-04-08,2.7391304347826084
2009-04-09,2.2916666666666665
2009-04-10,1.9166666666666665
2009-04-11,2.041666666666667
2009-04-12,2.041666666666667
2009-04-13,2.2173913043478266
2009-04-14,1.5833333333333333
2009-04-15,1.8571428571428574
2009-04-16,1.5454545454545456
2009-04-17,1.3636363636363635
2009-04-18,1.6818181818181817
2009-04-19,1.625
2009-04-20,1.0
2009-04-21,1.6956521739130435
2009-04-22,1.4583333333333335
2009-04-23,1.5833333333333333
2009-04-24,2.041666666666667
2009-04-25,1.9130434782608694
2009-04-26,1.625
2009-04-27,1.791666666666667
2009-04-28,1.791666666666667
2009-04-29,2.086956521739131
2009-04-30,2.125
2009-05-01,2.0
2009-05-02,1.875
2009-05-03,1.75
2009-05-04,2.125
2009-05-05,1.8333333333333333
2009-05-06,1.6956521739130435
2009-05-07,1.8260869565217392
2009-05-08,1.8333333333333333
2009-05-09,1.9166666666666665
2009-05-10,1.0833333333333335
2009-05-11,1.173913043478261
2009-05-12,1.0952380952380953
2009-05-13,1.3333333333333333
2009-05-14,1.0434782608695654
2009-05-15,1.2608695652173914
2009-05-16,1.75
2009-05-17,1.2666666666666666
