Fecha,NO
2018-03-02,6.249999999999999
2018-03-03,4.875
2018-03-04,2.6666666666666665
2018-03-05,3.9583333333333335
2018-03-06,5.375
2018-03-07,5.791666666666667
2018-03-08,6.416666666666667
2018-03-09,4.5
2018-03-10,5.0
2018-03-11,3.583333333333334
2018-03-12,4.958333333333334
2018-03-13,4.541666666666667
2018-03-14,4.416666666666667
2018-03-15,3.9583333333333335
2018-03-16,5.541666666666667
2018-03-17,4.708333333333333
2018-03-18,5.291666666666667
2018-03-19,4.083333333333334
2018-03-20,6.249999999999999
2018-03-21,4.833333333333333
2018-03-22,4.541666666666667
2018-03-23,5.833333333333334
2018-03-24,3.4583333333333335
2018-03-25,2.6666666666666665
2018-03-26,3.1249999999999996
2018-03-27,2.8750000000000004
2018-03-28,3.416666666666667
2018-03-29,2.9583333333333335
2018-03-30,2.5
2018-03-31,3.1666666666666665
2018-04-02,3.708333333333333
2018-04-03,3.541666666666667
2018-04-04,5.291666666666667
2018-04-05,3.6249999999999996
2018-04-06,3.0416666666666665
2018-04-07,3.2083333333333335
2018-04-08,2.9583333333333335
2018-04-09,6.833333333333334
2018-04-10,4.541666666666667
2018-04-11,3.2916666666666665
2018-04-12,5.291666666666667
2018-04-13,4.75
2018-04-14,3.5
2018-04-15,2.375
2018-04-16,4.666666666666667
2018-04-17,5.750000000000001
2018-04-18,2.7222222222222223
2018-04-19,3.4583333333333335
2018-04-20,2.25
2018-04-21,2.125
2018-04-22,2.0
2018-04-23,2.2916666666666665
2018-04-24,2.25
2018-04-25,2.8750000000000004
2018-04-26,2.416666666666667
2018-04-27,3.1249999999999996
2018-04-28,2.3333333333333335
2018-04-29,2.125
2018-04-30,3.7916666666666665
2018-05-02,2.416666666666667
2018-05-03,3.3333333333333335
2018-05-04,4.166666666666667
2018-05-05,2.3333333333333335
2018-05-06,2.125
2018-05-07,3.6249999999999996
2018-05-08,2.7083333333333335
2018-05-09,3.833333333333333
2018-05-10,2.041666666666667
2018-05-11,2.416666666666667
2018-05-12,2.6666666666666665
2018-05-13,2.041666666666667
2018-05-14,2.5833333333333335
2018-05-15,2.7500000000000004
2018-05-16,4.0
2018-05-17,2.7083333333333335
2018-05-18,2.6666666666666665
2018-05-19,2.2916666666666665
2018-05-20,2.125
2018-05-21,2.625
2018-05-22,3.4999999999999996
2018-05-23,2.416666666666667
2018-05-24,4.249999999999999
2018-05-25,2.916666666666667
2018-05-26,2.916666666666667
2018-05-27,2.041666666666667
2018-05-28,2.416666666666667
2018-05-29,2.166666666666667
2018-05-30,2.2083333333333335
2018-05-31,2.5
2018-06-02,2.25
2018-06-03,2.0833333333333335
2018-06-04,3.1666666666666665
2018-06-05,2.5833333333333335
2018-06-06,2.416666666666667
2018-06-07,2.6666666666666665
2018-06-08,3.2083333333333335
2018-06-09,2.5
2018-06-10,2.375
2018-06-11,4.416666666666667
2018-06-12,6.291666666666667
2018-06-13,5.291666666666667
2018-06-14,4.083333333333334
2018-06-15,7.375
2018-06-16,4.333333333333333
2018-06-17,2.5416666666666665
2018-06-18,4.708333333333333
2018-06-19,3.708333333333333
2018-06-20,3.3333333333333335
2018-06-21,5.833333333333334
2018-06-22,4.333333333333333
2018-06-23,3.5
