PM2.5,Temp_Avg,Temperature
20.131194444444443,19.830513888888888,Medium Temperature
18.76564880112835,20.91611111111111,High Temperature
35.02185416666667,21.35772916666667,High Temperature
35.872395833333336,21.968729166666662,High Temperature
41.23072916666667,21.668756944444443,High Temperature
36.007222222222225,21.43343055555556,High Temperature
40.22398611111111,21.583256944444443,High Temperature
34.79241666666667,20.65945138888889,High Temperature
33.46542361111111,21.214986111111116,High Temperature
43.09247222222223,20.41241666666667,High Temperature
27.280881944444445,21.789166666666667,High Temperature
35.01194278903456,18.641525625744933,Medium Temperature
19.962352941176476,20.21846153846154,High Temperature
22.253416666666663,19.80740972222222,Medium Temperature
28.43027777777778,19.75925,Medium Temperature
24.9281875,20.78097916666667,High Temperature
25.96834722222222,19.64871527777778,Medium Temperature
24.0875,20.193229166666665,High Temperature
32.778125,20.805423611111117,High Temperature
35.881750000000004,20.4874375,High Temperature
32.96024305555556,22.1523125,High Temperature
36.08890183028287,17.73640599001664,Medium Temperature
26.43586805555556,22.485138888888887,High Temperature
36.33820138888889,23.685541666666666,High Temperature
32.5265625,24.319590277777777,High Temperature
31.14838888888889,23.691847222222226,High Temperature
23.4797625698324,23.383381944444444,High Temperature
27.766715277777777,21.62905555555556,High Temperature
24.89447916666667,21.77683333333333,High Temperature
25.166666666666668,22.81303472222222,High Temperature
22.1125625,23.534111111111116,High Temperature
24.971256944444445,24.098194444444445,High Temperature
22.40928472222222,24.2355625,High Temperature
23.444798611111118,24.432590277777777,High Temperature
21.311569444444444,24.079520833333333,High Temperature
27.12607638888889,24.31965277777778,High Temperature
23.512993055555555,23.98807638888889,High Temperature
28.2880625,23.899756775538567,High Temperature
27.700333333333337,23.83068055555556,High Temperature
26.18715277777778,23.585104166666667,High Temperature
23.634659722222224,23.89663888888889,High Temperature
24.541909722222226,24.62586111111111,High Temperature
28.169472222222225,24.008152777777777,High Temperature
27.922875,23.923805555555557,High Temperature
22.424229166666667,23.242541666666668,High Temperature
21.409506944444445,22.39984722222222,High Temperature
14.226140602582497,22.13706944444445,High Temperature
10.867485835694051,19.938166666666667,Medium Temperature
10.753037088873338,20.71661111111111,High Temperature
18.921701388888888,18.850104166666668,Medium Temperature
26.57939226519337,17.540055248618785,Medium Temperature
5.942477272727272,18.67827083333333,Medium Temperature
9.884389367816093,19.808777777777777,Medium Temperature
12.077236111111112,19.24911805555556,Medium Temperature
19.053472222222226,19.074659722222226,Medium Temperature
15.980583333333334,19.36075,Medium Temperature
24.099756944444444,20.241465277777777,High Temperature
7.042463126843658,19.379756944444445,Medium Temperature
12.116095100864554,19.914527777777774,Medium Temperature
14.708340277777776,19.114652777777778,Medium Temperature
9.916128133704737,19.25039583333333,Medium Temperature
9.13378296910324,19.425965277777777,Medium Temperature
12.791770538243624,19.53995833333333,Medium Temperature
13.737154929577464,20.7166875,High Temperature
10.882787834902244,20.67198611111111,High Temperature
12.572006944444444,20.726895833333334,High Temperature
18.44807638888889,21.13951388888889,High Temperature
17.623270440251574,19.2846875,Medium Temperature
19.169840277777777,19.382631944444444,Medium Temperature
16.273569444444444,19.98382638888889,Medium Temperature
14.19758524704245,20.34069589422408,High Temperature
16.899270833333333,19.831847222222223,Medium Temperature
17.149083333333333,18.27332638888889,Medium Temperature
9.571792656587473,17.745256944444442,Medium Temperature
12.392618542108988,18.05461805555556,Medium Temperature
9.610830815709967,17.67754861111111,Medium Temperature
15.211196275071634,17.219881944444445,Medium Temperature
13.948055555555555,17.31092361111111,Medium Temperature
15.055052950075645,13.802223903177005,Low Temperature
13.27214899713467,19.5404375,Medium Temperature
10.96979870596693,19.755375,Medium Temperature
11.183790504898266,19.00036831132731,Medium Temperature
8.106198529411765,17.975805555555556,Medium Temperature
9.139903774981496,18.396569444444445,Medium Temperature
5.871285604311009,17.8325,Medium Temperature
8.806136183689627,19.5588416988417,Medium Temperature
10.528886524822695,20.514444444444443,High Temperature
13.416274228284278,20.246659722222223,High Temperature
11.278199018920812,20.43765972222222,High Temperature
16.13885416666667,20.32852083333333,High Temperature
11.4226875,19.36524305555556,Medium Temperature
13.474909722222222,18.727006944444444,Medium Temperature
13.78492693110647,18.87108333333333,Medium Temperature
12.568516949152542,18.9355625,Medium Temperature
11.54313464235624,18.203791666666667,Medium Temperature
6.582402148887184,17.999777777777776,Medium Temperature
8.370327868852458,18.693513888888887,Medium Temperature
10.468237853517042,18.15,Medium Temperature
16.77398611111111,17.16926388888889,Medium Temperature
17.285793871866296,17.22025,Medium Temperature
16.58465083798883,18.397673611111117,Medium Temperature
10.690127208480568,19.861291666666663,Medium Temperature
9.34470839260313,19.341173611111117,Medium Temperature
13.02102384291725,18.002312500000002,Medium Temperature
18.510293501048217,17.38907638888889,Medium Temperature
18.154655532359083,18.78273611111111,Medium Temperature
19.826698389458272,18.72252083333333,Medium Temperature
22.05616944243302,19.076314265025346,Medium Temperature
15.859378571428572,18.797131944444445,Medium Temperature
27.06374651810585,18.39073611111111,Medium Temperature
22.93517361111111,19.28009722222222,Medium Temperature
11.196615276804485,19.0825625,Medium Temperature
11.241083333333334,18.58842361111111,Medium Temperature
11.577607726597323,18.51302083333333,Medium Temperature
15.447111111111113,18.134169562195968,Medium Temperature
19.92167375886525,19.31394297635605,Medium Temperature
