Time,O3_flag,SO2_flag,NO2_flag,NO_flag,CO_flag,PM10_flag,PM2.5_flag,WDir_Avg,Rain_Tot,WDir_SD,O3,SO2,NO2,NO,CO,PM10,PM2.5,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,Press_Avg,Rad_Avg,TemperatureDowntown,RelativeHumidityDowntown,SolarRadiationDowntown,RainfallDowntown,WindDirectionDowntown,PM10Downtown,PM2.5Downtown,O3Downtown,CODowntown,NODowntown,NO2Downtown,SO2Downtown
2015-09-04,OK,OK,OK,BDL,OK,OS,OK,177.0,1.5,16.187400257407095,40.18193055555556,14.920215277777778,7.766673611111111,17.34202777777778,0.9462291666666668,,9.296316886726894,18.5294510076442,76.64022237665046,1.4097699791521892,,806.2083333333334,210.61966643502436,,,,,,,,,,,,
2015-09-05,OK,OK,OK,BDL,OK,OS,OK,159.0,2.1,15.502554500515776,29.05424305555556,1.5648194444444443,26.362243055555552,1.6085902777777776,0.2777361111111111,,11.177141863699582,18.10926388888889,76.75808333333333,1.386457638888889,,806.625,208.58784722222225,,,,,,,,,,,,
2015-09-06,OK,OK,OK,BDL,OK,OS,OK,200.0,23.1,14.943852327820382,28.96249652294854,1.272990264255911,26.31665507649513,1.0494575799721837,0.2103198887343532,,6.81741823242867,18.6635,75.7139375,1.6632631944444445,,806.75,197.80770833333327,,,,,,,,,,,,
2015-09-07,OK,BDL,OK,BDL,OK,OS,OK,150.0,10.4,13.530679290851094,27.88653685674548,0.3785813630041724,23.990876216968008,0.7873087621696802,0.172336578581363,,5.498662020905924,18.465881944444444,77.8491875,1.4932527777777778,,807.4166666666666,224.72291666666663,,,,,,,,,,,,
2015-09-08,OK,BDL,OK,BDL,OK,OS,OK,246.0,0.0,13.89613577853869,30.833319444444445,0.5808541666666667,4.183159722222222,0.5111458333333333,0.2107847222222222,,9.069395413481583,19.914354166666666,72.35466666666667,1.662867361111111,,806.8333333333334,304.40458333333333,,,,,,,,,,,,
2015-09-09,OK,BDL,OK,BDL,OK,OS,OK,40.0,15.9,13.293166857309393,36.67533333333333,0.3854930555555556,4.2908888888888885,0.2255208333333333,0.201875,,8.198847222222222,18.88854861111111,72.46319444444444,1.92240625,,805.8333333333334,305.3327777777778,,,,,,,,,,,,
2015-09-10,OK,BDL,OK,BDL,OK,OS,OK,182.0,0.4,15.996569899904886,34.90276388888889,0.2904861111111111,2.4566805555555558,0.0580208333333333,0.1825763888888889,,7.269402362751911,18.65511111111111,74.08300694444445,1.660597916666667,,806.625,257.41291666666666,,,,,,,,,,,,
2015-09-11,OK,BDL,OK,BDL,OK,OS,OK,204.0,1.3,15.399397557264903,29.6194375,0.49675,5.389111111111111,0.8904375,0.2267361111111111,,9.874523974982628,18.01586111111111,76.71222222222222,1.4949305555555554,,806.5416666666666,210.3284027777778,,,,,,,,,,,,
2015-09-12,OK,BDL,OK,BDL,OK,OS,OK,172.0,0.0,16.09255542109472,28.028131944444446,0.1911944444444444,2.882486111111111,0.2327638888888888,0.2129583333333333,,8.836506944444444,17.87559027777778,75.23569444444443,1.3187534722222225,,806.1666666666666,224.67055555555555,,,,,,,,,,,,
2015-09-13,OK,BDL,OK,BDL,OK,OS,OK,158.0,3.2,14.78137192159864,23.65740277777778,0.0546875,2.504611111111111,0.3193402777777778,0.2088680555555555,,7.603277777777778,18.06543055555556,79.9149375,1.3121284722222222,,805.1666666666666,180.7489583333333,,,,,,,,,,,,
2015-09-14,OK,BDL,OK,BDL,OK,OS,OK,249.0,2.1,15.007289543615457,18.369038997214485,0.2458983286908078,6.873259052924791,1.0126810584958217,0.2909958217270195,11.094732142857142,8.010090655509066,18.166097222222223,83.26382638888889,1.1151340277777777,,804.4583333333334,127.53840277777778,,,,,,,,,,,,
2015-09-15,OK,BDL,OK,BDL,OK,OK,OK,38.0,0.8,13.516142124269104,23.70952646239554,0.420933147632312,7.380362116991644,1.3716643454038997,0.3038927576601671,16.410824022346368,10.920522284122564,18.815715277777777,80.42361805555555,1.3827166666666668,,805.0416666666666,189.740625,,,,,,,,,,,,
2015-09-16,OK,BDL,OK,BDL,OK,OK,OK,251.0,2.7,14.93945938106353,23.47331944444445,0.3604444444444444,7.223493055555555,0.5563333333333333,0.2647916666666666,13.24101388888889,7.593933287004864,18.177625,79.84999305555556,1.16221875,,805.4166666666666,170.37208333333334,,,,,,,,,,,,
2015-09-17,OK,BDL,OK,BDL,OK,OK,OK,206.0,3.8,15.955308703760286,17.76884722222222,0.3008472222222222,6.193388888888888,2.094819444444445,0.2736944444444444,11.005395833333331,6.035166666666666,18.48145138888889,80.16438194444444,1.142075,,806.0416666666666,148.75361111111113,,,,,,,,,,,,
2015-09-18,OK,BDL,OK,BDL,OK,OK,OK,214.0,0.1,16.193927852346285,13.9573125,0.3888680555555556,3.1939583333333337,1.299013888888889,0.2104513888888889,11.87191933240612,7.1149131341209175,19.390166666666666,76.42065277777778,1.2791333333333332,,806.8333333333334,216.28125,,,,,,,,,,,,
2015-09-19,OK,BDL,OK,BDL,OK,OK,OK,162.0,0.0,15.118653724882604,22.844944444444444,0.2357083333333333,6.505416666666666,2.646152777777778,0.3121041666666667,15.645385684503127,10.368986111111113,19.814027777777778,74.63850694444444,1.100745833333333,,805.2599565532223,244.05680555555557,,,,,,,,,,,,
2015-09-20,OK,BDL,OK,BDL,OK,OK,OK,147.0,0.6000000000000001,16.306689698536875,28.639041666666667,0.1100555555555555,3.786840277777778,0.6176597222222222,0.2161458333333333,15.31446527777778,9.881583333333332,18.839597222222224,70.17622916666667,1.458710416666667,,804.625,287.03694444444443,,,,,,,,,,,,
2015-09-21,OK,BDL,OK,BDL,OK,OK,OK,50.0,0.0,13.058520461405752,29.85997916666667,0.0203472222222222,4.585361111111111,0.5702430555555555,0.1931666666666666,13.104416666666667,7.603381944444445,18.89850694444444,64.16443055555555,1.5045416666666669,,804.25,297.75,,,,,,,,,,,,
2015-09-22,OK,BDL,OK,BDL,OK,OK,OK,23.0,0.0,13.758365300015445,29.17065277777777,0.0801458333333333,5.9128125,0.7809583333333333,0.2093472222222222,16.24698611111111,7.617915218902016,18.726770833333333,63.72219444444445,1.8376701388888887,,805.6666666666666,300.6002777777778,,,,,,,,,,,,
2015-09-23,OK,BDL,OK,BDL,OK,OK,OK,31.0,0.0,13.69005420596122,31.19999305555556,0.5197916666666667,6.3162777777777785,0.963798611111111,0.2241666666666666,20.50225851285615,11.453097222222222,17.61823611111111,65.24224305555556,1.4853784722222223,,806.0833333333334,294.79840277777777,,,,,,,,,,,,
2015-09-24,OK,BDL,OK,BDL,OK,OK,OK,45.0,0.0,15.012961731683696,30.34561111111111,0.9249722222222222,6.553041666666666,1.0844791666666669,0.2489722222222222,21.493694444444444,11.506381944444444,18.59094444444444,66.20985416666667,1.5613555555555554,,807.7916666666666,298.0397222222222,,,,,,,,,,,,
2015-09-25,OK,BDL,OK,BDL,OK,OK,OK,63.0,0.0,12.99259273937342,26.73113888888889,0.1687291666666666,5.406881944444445,0.988375,0.2471875,16.432194444444445,8.22198611111111,18.219951388888887,70.41079861111112,1.7292715277777777,,808.2083333333334,252.87576388888888,,,,,,,,,,,,
2015-09-26,OK,BDL,OK,BDL,OK,OK,OK,68.0,0.0,13.86437356947772,31.19596527777778,0.3020138888888888,5.118472222222223,0.3065277777777778,0.2453333333333333,18.37413769123783,9.810646731571628,17.188395833333335,70.1543125,1.5048041666666667,,807.125,178.5595138888889,,,,,,,,,,,,
2015-09-27,OK,BDL,OK,BDL,OK,OK,OK,134.0,0.0,16.244496798470024,29.435465277777777,0.1206111111111111,4.984951388888889,0.6320486111111111,0.2422638888888889,16.206861111111113,11.17897222222222,17.501270833333333,72.30279861111111,1.4376923611111112,,807.1666666666666,206.66972222222225,,,,,,,,,,,,
2015-09-28,OK,BDL,OK,BDL,OK,OK,BDL,140.0,0.0,16.73559639642759,17.915430555555556,-0.0868055555555555,4.769354166666667,1.908111111111111,0.2243402777777778,9.238116747741486,4.319840166782488,16.544562499999998,76.99568055555555,1.258761111111111,,807.4166666666666,136.7434027777778,,,,,,,,,,,,
2015-09-29,OK,BDL,OK,BDL,OK,OK,OK,142.0,0.0,16.020115430040764,26.68756944444444,0.1364513888888888,6.065652777777778,0.6487152777777777,0.2952847222222222,16.0880625,9.667715277777775,17.806694444444442,71.71004166666667,1.1981819444444446,,807.0416666666666,157.06069444444444,,,,,,,,,,,,
2015-09-30,OK,BDL,OK,BDL,OK,OK,OK,146.0,0.0,13.52266825943602,22.783361111111116,0.622125,286.25527777777774,3.3553402777777777,0.2895,15.998526754690758,9.530861111111111,17.30548611111111,73.65789583333333,1.2316104166666666,,806.375,128.12326388888889,,,,,,,,,,,,
2015-10-01,OK,BDL,OK,BDL,OK,OK,OK,49.0,0.0,10.74686009347512,36.55594444444444,-0.0277152777777777,5.741152777777778,0.1809583333333333,0.2336736111111111,20.05952083333333,9.202215277777778,18.999715277777774,58.39779166666667,2.3282694444444445,,805.1666666666666,237.65895833333332,,,,,,,,,,,,
2015-10-02,OK,BDL,OK,BDL,OK,OK,OK,146.0,0.0,13.07555996993402,38.09849305555556,0.275625,5.705784722222222,0.796138888888889,0.276375,24.86175938803894,14.78225,16.667381944444443,60.42663194444445,1.6052444444444445,,804.2916666666666,296.1801388888889,,,,,,,,,,,,
2015-10-03,OK,BDL,OK,BDL,OK,OK,OK,142.0,0.0,16.373405831387423,32.89863888888889,0.4854374999999999,5.048958333333333,0.6207083333333334,0.3353402777777777,28.325881944444443,19.72923611111111,17.405951388888887,68.52913194444444,1.6251965277777778,,804.6666666666666,264.26173611111113,,,,,,,,,,,,
2015-10-04,OK,BDL,OK,BDL,OK,OK,OK,188.0,0.0,14.015625627551865,25.88555400696864,-0.2930313588850174,2.3433867595818816,0.0270034843205574,0.2492752613240418,18.993884239888423,15.210907187718073,17.807826388888888,73.89311111111111,1.638792361111111,,806.6666666666666,181.53180555555556,,,,,,,,,,,,
2015-10-05,OK,BDL,OK,BDL,OK,OK,OK,162.0,0.4,14.760064378476418,28.128173611111112,0.0991041666666666,5.940215277777778,3.1236944444444443,0.3751319444444445,26.781570535093817,18.095680555555557,17.652993055555555,78.00134722222222,1.369079861111111,,806.6666666666666,200.1497916666667,,,,,,,,,,,,
2015-10-06,OK,BDL,OK,BDL,OK,OK,OK,157.0,0.0,16.324466897483273,27.154555555555557,0.1237569444444444,5.755305555555555,1.7324166666666665,0.3608680555555555,26.49934027777778,18.277671994440585,19.956125,70.04907638888889,1.359425,,806.9583333333334,270.17541666666665,,,,,,,,,,,,
2015-10-07,OK,BDL,OK,BDL,OK,OK,OK,212.0,0.0,15.405097448515242,28.253173611111112,-0.0041458333333333,3.3743125000000003,0.1842083333333333,0.3499166666666666,28.19802503477052,19.982675469075748,19.57571527777778,72.20470833333333,1.6251381944444443,,805.875,254.52152777777775,,,,,,,,,,,,
2015-10-08,OK,BDL,OK,BDL,OK,OK,OK,236.0,2.2,14.813854694728574,24.473625,0.0862916666666666,4.863847222222222,0.5114513888888889,0.3734236111111111,27.069805555555558,19.13915972222222,18.239444444444445,76.81620833333334,1.2044118055555555,,804.5416666666666,143.82881944444443,,,,,,,,,,,,
2015-10-09,OK,BDL,OK,BDL,OK,OK,OK,114.0,2.7,15.458761235517702,23.20738888888889,0.2706527777777778,5.9918055555555565,1.364326388888889,0.3858472222222222,24.220069444444444,17.542583333333333,18.56088888888889,74.79436111111112,1.2837013888888889,,804.302679217958,194.15229166666663,,,,,,,,,,,,
2015-10-10,OK,BDL,OK,BDL,OK,OK,OK,170.0,0.0,15.952624250522868,27.193604166666667,0.4638680555555555,5.130833333333333,0.5854166666666667,0.3835069444444444,22.26161111111111,16.164875,18.38361111111111,74.05892361111111,1.2639145833333334,,805.1666666666666,231.22736111111112,,,,,,,,,,,,
2015-10-11,OK,BDL,OK,BDL,OK,OK,OK,168.0,0.0,16.869055595141578,25.397423611111112,0.181375,4.765000000000001,0.5575347222222222,0.3842222222222222,18.790041666666667,12.987770833333332,18.22236805555556,72.55637499999999,1.2209479166666666,,807.0416666666666,246.8025,,,,,,,,,,,,
2015-10-12,OK,BDL,OK,BDL,OK,OK,OK,174.0,0.0,14.741715204624931,27.839652777777776,0.1223333333333333,3.865201388888889,0.0939583333333333,0.3673125,20.32817548746518,12.913,19.165020833333333,67.31072916666666,1.5363902777777778,,807.1666666666666,250.91972222222225,,,,,,,,,,,,
2015-10-13,OK,BDL,OK,BDL,OK,OK,OK,22.0,0.0,13.681804776901412,28.594034722222226,0.0160972222222222,4.938875,0.7847152777777778,0.4114166666666667,24.313041666666667,14.541979166666668,19.567604166666666,64.7857638888889,1.680686111111111,,808.7916666666666,247.87958333333333,,,,,,,,,,,,
2015-10-14,OK,BDL,OK,BDL,OK,OK,OK,48.0,0.0,11.21879616019219,26.67413888888889,0.4290833333333333,5.547826388888889,2.1442916666666667,0.3970902777777777,20.277183588317108,10.1274375,18.7429375,61.02420138888889,2.37824375,,807.8333333333334,239.4052083333333,,,,,,,,,,,,
2015-10-15,OK,BDL,OK,BDL,OK,OK,OK,46.0,0.0,14.074394651772394,23.498125,-0.0664513888888889,6.480916666666667,0.8536458333333333,0.408548611111111,20.13443055555556,9.332265462126475,17.69601806810285,64.1692425295344,1.8693703961084085,,807.9166666666666,246.21028492008335,,,,,,,,,,,,
2015-10-16,OK,BDL,OK,BDL,OK,OK,OK,98.0,0.0,13.217050038413166,26.864013888888888,0.5954166666666667,6.834020833333333,1.126625,0.4258055555555555,24.663395833333333,14.918916967509023,12.494800637958532,78.64011164274322,1.192175438596491,,809.2083333333334,128.10015948963317,,,,,,,,,,,,
2015-10-17,OK,BDL,OK,BDL,OK,OK,OS,46.0,0.0,6.459086985946831,28.61864583333333,-0.3618472222222222,4.595027777777778,0.0388888888888888,0.4305277777777778,16.11947222222222,,19.890142653352356,54.50676176890157,4.208796005706134,,809.2083333333334,180.54008559201145,,,,,,,,,,,,
2015-10-18,OK,BDL,OK,BDL,OK,OK,OS,44.0,0.0,8.1610065473278,36.60982614742698,-0.7832058414464534,3.315326842837273,-0.1422878998609179,0.4732753824756607,10.306481223922114,,17.013284722222224,67.32765972222222,3.636827777777778,,808.375,167.96944444444443,,,,,,,,,,,,
