Time,O3_flag,SO2_flag,NO2_flag,NO_flag,CO_flag,PM10_flag,PM2.5_flag,WDir_Avg,Rain_Tot,WDir_SD,O3,SO2,NO2,NO,CO,PM10,PM2.5,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,Press_Avg,Rad_Avg,TemperatureDowntown,RelativeHumidityDowntown,SolarRadiationDowntown,RainfallDowntown,WindDirectionDowntown,PM10Downtown,PM2.5Downtown,O3Downtown,CODowntown,NODowntown,NO2Downtown,SO2Downtown
2015-10-19,OK,BDL,OK,BDL,OK,OK,OS,48.0,0.0,9.667272502290103,38.76268615170494,-0.1062421711899791,6.726534446764092,0.2352470424495476,0.5493597773138482,17.855824634655534,,16.239284722222223,64.28560416666667,1.992053472222222,,808.2083333333334,200.5157638888889,,,,,,,,,,,,
2015-10-20,OK,BDL,OK,BDL,OK,OK,OS,168.0,0.0,14.031300043931214,39.76714583333334,0.5500555555555556,6.899659722222222,0.9824444444444445,0.5854166666666667,25.656997915218906,,17.18423611111111,63.85436111111111,1.3534708333333334,,806.5833333333334,269.4664583333333,,,,,,,,,,,,
2015-10-21,OK,BDL,OK,BDL,OK,OK,OK,178.0,0.0,16.308394645145263,41.90012517385257,-0.4685465924895688,6.514408901251738,1.431738525730181,0.6939360222531293,26.354599860821157,14.976216897856242,18.556243055555555,71.22604861111111,1.2761597222222223,,803.8333333333334,217.74777777777777,,,,,,,,,,,,
2015-10-22,OK,BDL,OK,BDL,OK,OK,OK,174.0,0.1,12.5198926633405,23.324555555555555,-0.5937847222222222,6.2174652777777775,0.9336388888888888,0.6428402777777779,15.315930555555555,8.22904861111111,18.497319444444443,74.00265972222222,1.844098611111111,,803.5833333333334,118.89701388888888,,,,,,,,,,,,
2015-10-23,OK,OR,OK,BDL,OK,BDL,BDL,152.0,14.6,10.691729682662524,12.619415448851774,-1.009151009046625,2.8339039665970773,0.8787404314544189,0.549276270006959,3.7796102992345166,2.2277785515320336,16.67677777777778,82.15506944444445,2.760572222222222,,805.4583333333334,90.68729166666668,,,,,,,,,,,,
2015-10-24,OK,BDL,OK,BDL,OK,BDL,BDL,170.0,19.2,10.650775373729171,19.459367176634213,-0.94163421418637,1.3169193324061197,-0.2739986091794159,0.5425104311543811,2.9429415855354657,1.7064673157162726,17.353854166666665,79.4325,3.1415493055555554,,807.2916666666666,159.20340277777777,,,,,,,,,,,,
2015-10-25,OK,BDL,OK,BDL,OK,OK,OK,135.0,0.4,16.715718533617835,19.99352083333333,-0.8219305555555555,4.4887500000000005,0.7391458333333334,0.6242361111111111,11.216534722222224,7.395874999999999,17.44645138888889,77.53824305555555,1.3269006944444446,,807.875,217.2422916666667,,,,,,,,,,,,
2015-10-26,OK,BDL,OK,BDL,OK,OK,OK,166.0,0.0,14.16304822722093,20.357625,-0.9064236111111112,6.490534722222223,1.6941736111111112,0.7149305555555555,15.857402777777777,9.516668984700972,17.912819444444445,79.05450694444446,1.3143333333333334,,807.125,172.1521527777778,,,,,,,,,,,,
2015-10-27,OK,OR,OK,BDL,OK,OK,OK,170.0,0.0,14.385689643222497,16.537541666666666,-0.8821874999999999,3.455277777777778,0.1057430555555555,0.6499027777777778,10.595861111111113,6.517166666666666,18.886,74.82711111111111,1.539915972222222,,805.75,151.2554861111111,,,,,,,,,,,,
2015-10-28,OK,BDL,OK,BDL,OK,OK,OK,162.0,0.0,14.10161593533603,17.40470138888889,-0.7295625,3.987423611111111,1.0484652777777776,0.7012708333333334,10.484854166666668,6.545726198749131,18.38861014593468,76.9087213342599,1.6040326615705351,,803.5833333333334,159.34656011118832,,,,,,,,,,,,
