Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Morelia (more), Michoacan
Lat 19.6493 N, Lon 101.2221 W, Alt 1936 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,deg,mm,hPa,W/m^2
2021-05-01 00:00:00,19.59,47.08,2.671,3.482,251.1,15.02,0.0,805.756,-1.982
2021-05-01 00:01:00,19.58,47.14,1.969,2.406,240.5,13.62,0.0,805.851,-1.936
2021-05-01 00:02:00,19.54,47.22,1.86,2.918,229.1,17.59,0.0,805.735,-1.567
2021-05-01 00:03:00,19.57,47.27,1.487,2.642,226.2,9.19,0.0,805.817,-1.705
2021-05-01 00:04:00,19.59,47.23,1.476,2.13,216.8,19.65,0.0,805.769,-1.383
2021-05-01 00:05:00,19.61,47.22,1.468,1.71,220.2,29.56,0.0,805.783,-1.383
2021-05-01 00:06:00,19.6,47.32,1.394,1.679,215.0,12.0,0.0,805.844,-1.383
2021-05-01 00:07:00,19.56,47.45,1.616,2.13,234.5,19.01,0.0,805.726,-1.291
2021-05-01 00:08:00,19.51,47.64,1.934,3.072,244.8,14.38,0.0,805.869,-1.475
2021-05-01 00:09:00,19.5,47.73,1.225,1.782,240.2,49.6,0.0,805.76,-1.613
2021-05-01 00:10:00,19.5,47.82,1.855,2.376,238.0,16.84,0.0,805.793,-1.475
2021-05-01 00:11:00,19.47,47.95,1.369,1.649,227.9,20.81,0.0,805.826,-1.383
2021-05-01 00:12:00,19.48,47.99,1.161,1.546,204.2,20.78,0.0,805.724,-1.383
2021-05-01 00:13:00,19.45,47.99,1.324,1.628,238.6,20.57,0.0,805.819,-1.383
2021-05-01 00:14:00,19.47,48.09,1.186,1.393,221.4,33.95,0.0,805.741,-1.383
2021-05-01 00:15:00,19.46,48.16,1.244,1.843,219.7,34.55,0.0,805.803,-1.383
2021-05-01 00:16:00,19.42,48.3,2.004,2.386,219.9,23.0,0.0,805.768,-2.028
2021-05-01 00:17:00,19.46,48.24,1.157,1.464,211.3,26.35,0.0,805.746,-1.521
2021-05-01 00:18:00,19.46,48.16,1.428,2.171,241.1,35.06,0.0,805.807,-1.383
2021-05-01 00:19:00,19.47,48.22,1.504,1.71,239.2,20.41,0.0,805.698,-1.659
2021-05-01 00:20:00,19.48,48.31,1.365,1.772,230.6,33.34,0.0,805.792,-1.567
2021-05-01 00:21:00,19.47,48.33,1.867,2.089,221.6,23.09,0.0,805.738,-1.659
2021-05-01 00:22:00,19.47,48.32,0.765,1.536,247.0,30.27,0.0,805.724,-1.475
2021-05-01 00:23:00,19.43,48.33,1.369,2.529,249.1,5.639,0.0,805.778,-1.337
2021-05-01 00:24:00,19.41,48.46,1.208,1.659,245.1,28.97,0.0,805.669,-1.613
2021-05-01 00:25:00,19.43,48.42,1.838,2.376,235.4,17.58,0.0,805.743,-1.936
2021-05-01 00:26:00,19.37,48.41,2.268,3.185,259.4,11.39,0.0,805.648,-2.166
2021-05-01 00:27:00,19.38,48.24,2.167,2.755,253.4,9.65,0.0,805.722,-2.673
2021-05-01 00:28:00,19.41,48.14,1.084,1.475,247.1,11.85,0.0,805.688,-1.752
2021-05-01 00:29:00,19.43,47.99,2.796,3.389,250.6,4.558,0.0,805.648,-2.489
2021-05-01 00:30:00,19.5,47.61,2.094,2.376,248.0,10.13,0.0,805.749,-2.673
2021-05-01 00:31:00,19.5,47.55,1.254,1.649,250.3,14.95,0.0,805.6,-2.028
2021-05-01 00:32:00,19.49,47.36,2.671,3.246,258.2,9.89,0.0,805.715,-2.305
2021-05-01 00:33:00,19.51,47.08,2.099,2.765,250.9,14.61,0.0,805.661,-2.489
2021-05-01 00:34:00,19.55,46.85,2.121,2.929,255.5,10.63,0.0,805.634,-2.351
2021-05-01 00:35:00,19.61,46.78,1.896,3.041,262.7,17.63,0.0,805.708,-2.305
2021-05-01 00:36:00,19.6,46.66,2.186,3.021,244.3,16.6,0.0,805.565,-2.351
2021-05-01 00:37:00,19.6,46.48,2.012,2.437,252.6,16.11,0.0,805.708,-2.489
2021-05-01 00:38:00,19.6,46.43,1.495,2.324,298.5,25.97,0.0,805.552,-2.028
2021-05-01 00:39:00,19.58,46.32,2.086,2.621,282.1,16.74,0.0,805.626,-2.166
2021-05-01 00:40:00,19.59,46.29,1.889,2.632,295.5,9.38,0.0,805.681,-2.212
2021-05-01 00:41:00,19.58,46.3,1.62,2.304,287.2,20.4,0.0,805.565,-1.844
2021-05-01 00:42:00,19.6,46.33,1.364,1.792,304.0,25.76,0.0,805.685,-1.89
2021-05-01 00:43:00,19.59,46.49,1.024,1.393,358.6,13.34,0.0,805.59,-1.244
2021-05-01 00:44:00,19.59,46.64,0.679,0.952,36.19,21.61,0.0,805.658,-0.83
2021-05-01 00:45:00,19.47,47.13,1.143,1.587,40.3,4.508,0.0,805.616,-0.83
2021-05-01 00:46:00,19.32,47.52,1.746,1.833,33.2,2.855,0.0,805.622,-0.83
2021-05-01 00:47:00,19.2,47.89,1.869,1.966,19.46,3.292,0.0,805.677,-0.83
2021-05-01 00:48:00,19.12,47.92,1.987,2.202,4.352,9.19,0.0,805.547,-1.06
2021-05-01 00:49:00,19.06,48.09,1.575,2.017,13.13,4.442,0.0,805.687,-1.429
2021-05-01 00:50:00,19.05,48.12,1.094,1.393,8.59,20.25,0.0,805.578,-1.383
2021-05-01 00:51:00,19.03,48.0,1.57,1.853,2.981,6.543,0.0,805.605,-1.429
2021-05-01 00:52:00,19.09,47.81,1.073,1.249,12.68,12.35,0.0,805.665,-1.567
2021-05-01 00:53:00,19.11,47.84,1.379,1.505,0.091,7.377,0.0,805.535,-1.383
2021-05-01 00:54:00,19.13,47.69,1.224,1.495,352.2,9.56,0.0,805.677,-1.475
2021-05-01 00:55:00,19.15,47.63,1.44,1.567,322.5,11.53,0.0,805.561,-1.475
2021-05-01 00:56:00,19.12,47.51,1.229,1.372,303.0,14.26,0.0,805.602,-1.613
2021-05-01 00:57:00,19.12,47.51,1.186,1.311,298.0,10.0,0.0,805.622,-1.383
2021-05-01 00:58:00,19.16,47.48,1.657,1.792,280.3,5.01,0.0,805.533,-1.567
2021-05-01 00:59:00,19.12,47.76,1.388,1.536,267.8,4.255,0.0,805.628,-1.521
2021-05-01 01:00:00,19.03,48.25,1.299,1.526,248.0,4.023,0.0,805.464,-1.429
2021-05-01 01:01:00,18.93,48.72,1.415,1.823,234.4,9.69,0.0,805.588,-1.798
2021-05-01 01:02:00,18.81,49.1,1.075,1.3,232.1,10.56,0.0,805.53,-1.245
2021-05-01 01:03:00,18.7,49.45,0.932,1.126,247.1,21.97,0.0,805.482,-1.383
2021-05-01 01:04:00,18.47,49.92,0.802,1.024,258.1,7.12,0.0,805.563,-0.507
2021-05-01 01:05:00,18.3,50.43,1.161,1.556,259.2,14.69,0.0,805.433,-1.198
2021-05-01 01:06:00,18.2,50.77,1.712,2.212,256.9,9.34,0.0,805.541,-1.659
2021-05-01 01:07:00,18.13,50.79,1.574,1.71,255.0,8.5,0.0,805.456,-2.028
2021-05-01 01:08:00,18.18,50.63,1.471,1.966,256.1,6.923,0.0,805.457,-1.844
2021-05-01 01:09:00,18.19,50.7,1.541,1.638,253.3,10.2,0.0,805.49,-2.213
2021-05-01 01:10:00,18.2,50.73,1.841,2.181,258.3,7.156,0.0,805.366,-2.351
2021-05-01 01:11:00,18.26,50.51,1.669,2.161,265.0,14.73,0.0,805.468,-2.397
2021-05-01 01:12:00,18.27,50.57,1.783,2.324,266.8,12.62,0.0,805.345,-2.074
2021-05-01 01:13:00,18.24,50.57,2.103,2.57,262.4,13.05,0.0,805.453,-2.351
2021-05-01 01:14:00,18.25,50.45,2.239,2.898,261.2,11.14,0.0,805.435,-2.996
2021-05-01 01:15:00,18.33,50.38,1.698,1.853,259.3,17.41,0.0,805.403,-2.673
2021-05-01 01:16:00,18.36,50.22,2.342,2.601,264.7,14.31,0.0,805.476,-2.581
2021-05-01 01:17:00,18.4,50.21,1.937,2.447,268.0,6.649,0.0,805.366,-2.489
2021-05-01 01:18:00,18.6,49.83,1.713,2.171,260.8,16.0,0.0,805.488,-2.259
2021-05-01 01:19:00,18.68,49.52,2.586,2.888,263.6,5.164,0.0,805.392,-2.627
