Fecha,Temperatura,RelativeHumidity,SolarRadiation,Rainfall,WindDirection,PM10,PM2.5,O3,CO,NO,NO2,SO2
2018-03-30,20.125,33.458333333333336,272.375,,227.0,0.0,,,,2.5,,39.66666666666666
2018-03-31,20.78333333333333,29.70833333333333,308.3333333333333,,30.0,0.0416666666666666,,,,3.1666666666666665,,43.583333333333336
2018-04-01,20.945833333333333,38.625,286.6666666666667,,222.0,0.0,,,,,,40.20833333333333
2018-04-02,21.27083333333333,40.208333333333336,237.45833333333331,,211.0,0.0,,,,3.708333333333333,,40.33333333333333
2018-04-03,21.916666666666668,33.166666666666664,294.375,,201.0,0.0,,,,3.541666666666667,,38.58333333333333
2018-04-04,21.5,27.0,283.2083333333333,,217.0,0.4166666666666667,,,,5.291666666666667,,39.16666666666666
2018-04-05,22.15416666666667,35.333333333333336,274.1666666666667,,151.0,0.0,,,,3.625,,41.75
2018-04-06,21.72083333333333,36.91666666666666,295.8333333333333,,155.0,0.0,,,,3.0416666666666665,,41.583333333333336
2018-04-07,20.941666666666663,28.95833333333333,315.4583333333333,,222.0,0.0,,,,3.208333333333333,,41.333333333333336
2018-04-08,20.933333333333334,25.625,318.125,,214.0,0.0,,,,2.958333333333333,,41.91666666666666
2018-04-09,21.45833333333333,25.33333333333333,299.2083333333333,,207.0,0.0416666666666666,,,,6.833333333333334,,38.25
2018-04-10,21.079166666666666,32.375,285.375,,10.0,0.125,,,,4.541666666666667,,21.77777777777778
2018-04-11,18.054166666666667,61.208333333333336,212.54166666666663,0.52,36.0,0.0,,,,3.2916666666666665,,
2018-04-12,18.104166666666668,59.208333333333336,230.91666666666663,0.02,164.0,0.0,,,,5.291666666666667,,6.0
2018-04-13,19.7875,48.0,223.66666666666663,,179.0,0.0,,,,4.75,,
2018-04-14,20.175,35.0,330.875,,209.0,0.0,,,,3.5,,
2018-04-15,20.40833333333333,33.125,315.8333333333333,,217.0,0.0,,,,2.375,,
2018-04-16,21.129166666666663,37.29166666666666,282.375,,34.0,0.0416666666666666,,,,4.666666666666667,,
2018-04-17,22.08333333333333,33.583333333333336,273.0,,215.0,0.0833333333333333,,,,5.750000000000001,,
2018-04-18,21.166666666666668,32.111111111111114,84.94444444444444,,10.0,0.5,2.0,,,2.7222222222222223,,
2018-04-19,24.141666666666666,31.0,321.4166666666667,,4.0,0.0,,,,3.458333333333333,,
2018-04-20,21.875,45.833333333333336,281.875,,229.0,0.0416666666666666,,,,2.25,,
2018-04-21,22.675,44.375,249.08333333333331,,224.0,0.0,,,,2.125,,
2018-04-22,22.3125,46.333333333333336,232.79166666666663,,199.0,0.0,,,,2.0,,
2018-04-23,22.075,51.29166666666666,221.16666666666663,0.14,118.0,0.8333333333333334,,,,2.2916666666666665,,
2018-04-24,22.4625,50.41666666666666,250.5,0.38,233.0,0.375,,,,2.25,,
2018-04-25,22.1125,46.375,280.3333333333333,,221.0,0.125,,,,2.8750000000000004,,
2018-04-26,22.445833333333336,34.5,272.5833333333333,,121.0,0.0833333333333333,,,,2.416666666666667,,
2018-04-27,21.925,28.625,327.875,,227.0,0.0,,,,3.125,,
2018-04-28,21.304166666666667,28.75,322.0416666666667,,203.0,0.0,,,,2.333333333333333,,
2018-04-29,21.73333333333333,30.041666666666668,324.0416666666667,,198.0,0.0,,,,2.125,,
2018-04-30,20.15833333333333,47.958333333333336,212.83333333333331,0.16,225.0,0.0,,,,3.7916666666666665,,
2018-05-01,19.229166666666668,57.25,164.66666666666666,0.04,67.0,0.0,,,,,,
2018-05-02,21.075,48.66666666666666,269.6666666666667,,129.0,0.0,,,,2.416666666666667,,
2018-05-03,21.0875,53.375,213.29166666666663,0.12,8.0,0.0,,,,3.333333333333333,,
2018-05-04,21.179166666666667,57.458333333333336,273.9583333333333,0.17,302.0,0.0,,,,4.166666666666667,,
2018-05-05,20.741666666666667,61.41666666666666,237.45833333333331,0.07,11.0,0.0,,,,2.333333333333333,,
2018-05-06,19.65833333333333,64.125,221.16666666666663,0.51,3.0,0.0,-1.0,,,2.125,,
