PM2.5,Rain_Tot,Weather
20.131194444444443,0.0,No Rain
18.76564880112835,0.0,No Rain
35.02185416666667,0.0,No Rain
35.872395833333336,0.0,No Rain
41.23072916666667,0.2,Rain
36.007222222222225,0.0,No Rain
40.22398611111111,0.0,No Rain
34.79241666666667,0.0,No Rain
33.46542361111111,0.3,Rain
43.09247222222223,0.1,Rain
27.280881944444445,0.0,No Rain
35.01194278903456,0.0,No Rain
19.962352941176476,0.0,No Rain
22.253416666666663,0.0,No Rain
28.43027777777778,0.0,No Rain
24.9281875,0.2,Rain
25.96834722222222,0.0,No Rain
24.0875,0.7000000000000001,Rain
32.778125,2.3,Rain
35.881750000000004,15.8,Heavy Rain
32.96024305555556,0.0,No Rain
36.08890183028287,0.0,No Rain
26.43586805555556,0.0,No Rain
36.33820138888889,0.0,No Rain
32.5265625,0.0,No Rain
31.14838888888889,0.0,No Rain
23.4797625698324,0.0,No Rain
27.766715277777777,8.5,Rain
24.89447916666667,0.1,Rain
25.166666666666668,0.0,No Rain
22.1125625,0.0,No Rain
24.971256944444445,0.0,No Rain
22.40928472222222,0.0,No Rain
23.444798611111118,0.0,No Rain
21.311569444444444,0.0,No Rain
27.12607638888889,0.0,No Rain
23.512993055555555,0.0,No Rain
28.2880625,0.0,No Rain
27.700333333333337,0.0,No Rain
26.18715277777778,0.0,No Rain
23.634659722222224,0.0,No Rain
24.541909722222226,0.0,No Rain
28.169472222222225,10.2,Heavy Rain
27.922875,0.0,No Rain
22.424229166666667,0.0,No Rain
21.409506944444445,0.0,No Rain
14.226140602582497,0.0,No Rain
10.867485835694051,3.2,Rain
10.753037088873338,1.2000000000000002,Rain
18.921701388888888,3.6,Rain
26.57939226519337,0.0,No Rain
5.942477272727272,15.7,Heavy Rain
9.884389367816093,0.0,No Rain
12.077236111111112,2.2,Rain
19.053472222222226,0.1,Rain
15.980583333333334,0.8,Rain
24.099756944444444,2.7,Rain
7.042463126843658,3.8,Rain
12.116095100864554,0.0,No Rain
14.708340277777776,11.3,Heavy Rain
9.916128133704737,2.6,Rain
9.13378296910324,5.5,Rain
12.791770538243624,1.4,Rain
13.737154929577464,0.0,No Rain
10.882787834902244,0.0,No Rain
12.572006944444444,0.0,No Rain
18.44807638888889,0.0,No Rain
17.623270440251574,7.4,Rain
19.169840277777777,21.6,Heavy Rain
16.273569444444444,0.0,No Rain
14.19758524704245,0.3,Rain
16.899270833333333,0.3,Rain
17.149083333333333,4.5,Rain
9.571792656587473,9.0,Rain
12.392618542108988,8.1,Rain
9.610830815709967,7.800000000000001,Rain
15.211196275071634,2.2,Rain
13.948055555555555,0.9,Rain
15.055052950075645,0.0,No Rain
13.27214899713467,5.6000000000000005,Rain
10.96979870596693,11.0,Heavy Rain
11.183790504898266,0.9,Rain
8.106198529411765,6.5,Rain
9.139903774981496,26.7,Heavy Rain
5.871285604311009,0.1,Rain
8.806136183689627,0.0,No Rain
10.528886524822695,0.0,No Rain
13.416274228284278,0.9,Rain
11.278199018920812,0.1,Rain
16.13885416666667,3.2,Rain
11.4226875,6.800000000000001,Rain
13.474909722222222,7.9,Rain
13.78492693110647,10.7,Heavy Rain
12.568516949152542,0.0,No Rain
11.54313464235624,0.0,No Rain
6.582402148887184,4.7,Rain
8.370327868852458,0.6000000000000001,Rain
10.468237853517042,1.4,Rain
16.77398611111111,0.6000000000000001,Rain
17.285793871866296,2.5,Rain
16.58465083798883,1.9,Rain
10.690127208480568,0.3,Rain
9.34470839260313,0.0,No Rain
13.02102384291725,0.0,No Rain
18.510293501048217,0.0,No Rain
18.154655532359083,0.0,No Rain
19.826698389458272,0.0,No Rain
22.05616944243302,41.7,Heavy Rain
15.859378571428572,19.0,Heavy Rain
27.06374651810585,2.0,Rain
22.93517361111111,1.1,Rain
11.196615276804485,5.800000000000001,Rain
11.241083333333334,7.6,Rain
11.577607726597323,4.1000000000000005,Rain
15.447111111111113,0.5,Rain
19.92167375886525,0.0,No Rain
13.914609483960948,0.0,No Rain
10.62239298245614,0.0,No Rain
10.811277777777777,0.0,No Rain
13.898977746870653,0.0,No Rain
20.498560393258423,0.0,No Rain
20.62346527777778,0.0,No Rain
21.33325,11.1,Heavy Rain
16.367916666666666,5.9,Rain
12.572868055555556,0.9,Rain
21.02782638888889,2.1,Rain
15.59621338912134,0.0,No Rain
14.486578581363004,0.0,No Rain
16.79099512874043,0.0,No Rain
23.50427777777778,0.0,No Rain
17.21995038979447,0.0,No Rain
16.810020862308765,0.0,No Rain
12.829574319609211,0.0,No Rain
13.278989473684211,0.0,No Rain
16.597007194244604,0.0,No Rain
19.05105555555556,0.0,No Rain
28.888950276243094,0.0,No Rain
20.87220291869353,0.0,No Rain
18.62854907539118,0.0,No Rain
17.620637845499648,8.0,Rain
11.69357601713062,3.0,Rain
12.166553222302678,0.0,No Rain
13.800770833333331,4.1000000000000005,Rain
7.3487263078089455,2.0,Rain
6.167718120805369,0.1,Rain
6.960553129548762,10.8,Heavy Rain
4.678225399495374,2.8000000000000003,Rain
4.305268214571657,6.4,Rain
7.892808811959087,0.0,No Rain
8.599718309859155,0.0,No Rain
18.876507823613085,0.4,Rain
8.383261515601784,0.0,No Rain
6.273097617217525,0.0,No Rain
17.741588523442967,0.0,No Rain
14.324295725297828,0.0,No Rain
15.036472222222224,0.2,Rain
13.291917510853835,0.0,No Rain
8.740969196093163,0.0,No Rain
9.282312633832976,0.0,No Rain
10.168622377622375,0.0,No Rain
12.59,0.0,No Rain
19.30791231732777,8.8,Rain
23.4727498121713,1.9,Rain
