O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
24.15,OK,4.28,OK,0.2,BDL,0.3,OK,18.94,OK,8.94,OK,15.28,95.9,1.353,1.741,95.9,4.045,0.1,807.552,,2023,9,17,0,27
42.69,OK,1.24,OK,0.2,BDL,0.18,OK,11.8,OK,8.12,OK,16.83,79.98,4.485,5.192,110.6,12.75,0.1,806.652,2.996,2023,9,4,22,39
31.97,OK,3.39,OK,0.2,BDL,0.35,OK,19.3,OK,12.15,OK,18.61,83.6,2.243,2.949,344.6,14.22,0.1,805.675,,2023,9,15,20,39
28.59,OK,4.59,OK,0.69,OK,0.14,OK,17.49,OK,17.38,OK,17.18,90.0,2.196,3.738,176.8,8.07,0.1,807.278,171.4,2023,7,9,8,21
16.1,OK,2.73,OK,0.2,BDL,0.07,OK,14.49,OK,9.05,OK,16.68,95.0,1.277,1.393,81.7,4.781,0.1,806.866,0.645,2023,7,9,1,0
24.11,OK,2.46,OK,0.2,BDL,0.35,OK,14.96,OK,9.37,OK,17.97,87.4,1.292,1.546,31.02,10.8,0.2,806.302,5.485,2023,8,5,19,6
31.47,OK,3.56,OK,0.2,BDL,0.31,OK,28.01,OK,22.42,OK,16.07,95.4,0.259,0.43,61.55,17.25,0.2,803.765,51.81,2023,10,25,15,40
24.43,OK,2.53,OK,0.2,BDL,0.48,OK,2.0,BDL,15.99,OR,9.52,96.9,0.099,0.297,13.59,0.014,0.1,804.064,,2024,2,17,3,28
21.45,OK,12.58,OK,0.2,BDL,0.44,OK,11.58,OK,10.4,OK,16.08,93.3,1.161,1.577,7.34,11.21,0.1,806.322,,2023,6,26,21,20
51.58,OK,1.46,OK,0.2,BDL,0.06,OK,20.94,OK,22.5,OK,18.51,75.01,2.336,2.949,281.6,6.675,0.1,806.423,3.918,2023,7,9,22,3
50.81,OK,2.14,OK,0.2,BDL,0.28,OK,17.62,OK,11.33,OK,14.36,88.4,3.871,5.007,174.1,12.87,0.2,807.738,,2023,8,2,22,48
35.8,OK,1.6,OK,0.2,BDL,0.05,OK,2.0,BDL,2.0,BDL,15.05,89.1,0.0,0.0,0.0,0.0,0.1,806.898,,2023,7,23,4,31
18.81,OK,6.56,OK,0.2,BDL,0.5,OK,6.17,OK,15.99,OR,10.02,94.9,1.113,1.618,66.41,15.58,0.1,805.785,,2024,2,17,0,41
31.31,OK,1.19,OK,0.2,BDL,0.32,OK,10.02,OK,10.35,OK,15.49,92.4,2.063,2.58,215.4,8.1,0.1,809.546,,2023,8,5,22,34
30.47,OK,0.7,OK,0.2,BDL,0.21,OK,14.77,OK,11.91,OK,15.4,93.6,1.34,1.7,308.3,6.75,0.1,805.995,,2023,9,4,3,32
37.94,OK,4.29,OK,0.4,OK,0.39,OK,45.44,OK,40.22,OK,20.17,81.2,1.024,1.475,318.5,8.96,0.1,803.499,187.8,2023,10,3,14,20
37.62,OK,0.87,OK,0.2,BDL,0.23,OK,17.64,OK,15.35,OK,16.13,87.1,7.562,8.99,158.2,21.95,0.6,807.501,8.34,2023,8,14,23,20
41.67,OK,1.24,OK,0.2,BDL,0.04,OK,7.59,OK,16.42,OK,17.54,79.94,1.292,2.601,254.2,10.69,0.1,807.306,,2023,7,22,22,3
