O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
10.29,OK,13.2,OK,0.2,BDL,0.46,OK,41.78,OK,23.88,OK,17.98,88.0,0.294,0.461,119.0,0.464,0.0,806.557,,2023,9,21,22,49
46.08,OK,3.91,OK,0.2,BDL,0.2,OK,22.68,OK,14.26,OK,21.94,22.63,5.673,6.257,299.4,9.43,0.0,804.696,868.0,2024,3,7,10,30
39.65,OK,6.74,OK,0.2,BDL,0.32,OK,43.09,OK,32.4,OK,17.73,68.26,0.014,0.082,302.1,0.0,0.0,808.049,,2023,5,21,2,44
20.25,OK,1.05,OK,0.2,BDL,0.32,OK,13.02,OK,7.57,OK,18.52,56.41,5.06,5.734,257.6,7.031,0.0,804.498,242.6,2024,1,8,12,39
44.53,OK,9.61,OK,0.84,OK,0.43,OK,69.48,OK,42.71,OK,22.11,43.49,3.862,4.424,56.38,10.48,0.0,806.225,197.0,2023,5,8,14,59
41.64,OK,2.87,OK,0.2,BDL,0.1,OK,12.7,OK,15.47,OK,16.11,93.7,0.749,1.362,290.9,18.56,0.1,805.923,0.323,2023,7,10,0,2
24.68,OK,1.22,OK,0.2,BDL,0.28,OK,16.21,OK,13.2,OK,18.4,79.54,2.555,3.226,258.8,8.68,0.0,806.165,,2023,10,20,20,41
30.27,OK,8.92,OK,0.2,BDL,0.47,OK,48.49,OK,22.76,OK,16.29,40.41,1.471,1.761,253.6,6.244,0.0,810.178,,2024,1,28,22,50
29.58,OK,6.65,OK,1.84,OK,0.43,OK,38.88,OK,27.74,OK,20.66,83.5,1.044,1.454,0.1,8.33,0.0,803.161,425.6,2023,10,3,14,36
22.05,OK,2.29,OK,0.2,BDL,0.48,OK,14.89,OK,9.39,OK,9.94,90.4,0.0,0.0,0.0,0.0,0.0,805.308,,2024,2,2,3,33
22.06,OK,16.19,OK,0.2,BDL,0.48,OK,17.36,OK,12.09,OK,16.68,68.22,2.97,3.645,95.3,4.325,0.0,808.356,,2023,12,5,19,15
33.84,OK,1.73,OK,0.2,BDL,0.29,OK,31.37,OK,36.79,OK,19.6,75.6,1.526,2.54,286.1,9.67,0.0,805.375,,2023,6,20,4,49
26.14,OK,6.41,OK,0.2,BDL,0.4,OK,35.63,OK,24.95,OK,12.23,42.32,1.935,2.202,168.1,7.06,0.0,803.54,,2024,4,9,5,49
35.58,OK,3.54,OK,0.2,BDL,0.42,OK,30.04,OK,11.05,OK,11.44,43.27,0.481,0.707,122.9,21.03,0.0,804.418,,2024,3,8,2,8
16.57,OK,12.66,OK,5.63,OK,0.67,OK,22.02,OK,13.4,OK,10.75,77.18,0.326,0.696,294.4,9.06,0.0,806.213,261.1,2024,2,10,8,33
33.37,OK,2.55,OK,0.2,BDL,0.4,OK,28.56,OK,16.9,OK,14.53,64.34,1.529,1.72,220.0,1.479,0.0,806.414,,2023,5,17,4,34
24.04,OK,1.08,OK,0.2,BDL,0.33,OK,7.31,OK,10.85,OK,10.48,74.41,2.92,4.004,173.3,15.42,0.0,804.03,,2024,1,6,4,3
39.74,OK,4.44,OK,0.72,OK,0.3,OK,9.82,OK,15.99,OR,21.73,62.12,0.237,0.573,128.3,18.81,0.0,807.07,751.9,2023,8,18,11,42
13.71,OK,14.42,OK,7.12,OK,0.62,OK,19.0,OK,47.79,OK,16.37,84.3,0.0,0.0,0.0,0.0,0.0,807.982,202.0,2023,11,12,10,12
51.15,OK,1.82,OK,0.2,BDL,0.36,OK,18.38,OK,2.0,BDL,21.2,10.53,4.774,6.636,129.8,21.14,0.0,804.407,1029.0,2024,2,5,13,26
54.71,OK,2.35,OK,0.2,BDL,0.37,OK,51.42,OK,40.9,OK,20.14,50.49,3.062,4.116,219.7,19.95,0.0,806.16,,2023,5,10,1,8
79.5,OK,1.27,OK,0.2,BDL,0.13,OK,119.84,OK,11.17,OK,32.72,7.632,1.548,2.171,82.8,9.44,0.0,802.112,675.7,2023,6,13,16,23
20.36,OK,5.43,OK,0.2,BDL,0.24,OK,27.74,OK,17.04,OK,15.26,84.7,0.0,0.0,0.0,0.0,0.0,805.772,,2023,11,7,3,43
35.52,OK,2.51,OK,0.2,BDL,0.39,OK,21.5,OK,13.87,OK,13.43,60.14,0.454,0.942,79.02,28.09,0.0,803.425,,2024,2,3,23,41
46.85,OK,1.3,OK,0.2,BDL,0.49,OK,41.57,OK,37.96,OK,22.21,43.61,2.135,2.601,205.9,7.463,0.0,805.531,,2024,4,15,22,34
43.09,OK,1.8,OK,0.2,BDL,0.28,OK,17.02,OK,18.31,OK,17.69,73.23,1.888,2.376,296.5,23.46,0.0,805.601,,2023,10,18,20,38
