O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
8.33,OK,4.19,OK,0.2,BDL,0.37,OK,7.11,OK,2.0,BDL,9.69,83.6,0.505,0.881,264.9,0.0,0.0,804.397,,2024,1,8,1,31
58.55,OK,2.06,OK,0.2,BDL,0.21,OK,26.3,OK,5.37,OK,26.31,35.52,2.647,3.082,266.7,27.9,0.0,803.715,694.6,2023,10,1,15,26
62.57,OK,4.26,OK,0.2,BDL,0.31,OK,32.55,OK,24.25,OK,21.6,29.42,0.196,0.614,110.3,1.126,0.0,808.328,548.5,2024,3,2,11,48
45.64,OK,5.25,OK,0.2,BDL,0.23,OK,29.78,OK,24.43,OK,20.62,51.64,0.0,0.0,0.0,0.0,0.0,804.841,,2023,11,5,18,41
5.22,OK,12.45,OK,0.91,OK,0.56,OK,15.61,OK,16.39,OK,10.39,65.68,0.0,0.0,0.0,0.0,0.0,803.642,,2024,2,12,7,4
18.52,OK,8.85,OK,0.2,BDL,0.49,OK,30.58,OK,20.61,OK,16.38,76.05,0.297,0.707,244.6,2.136,0.0,807.683,,2023,9,9,22,49
40.05,OK,2.8,OK,0.2,BDL,0.29,OK,42.81,OK,35.65,OK,24.22,50.01,1.806,2.304,192.9,14.75,0.0,804.063,,2023,6,18,20,33
26.18,OK,10.84,OK,0.2,BDL,0.35,OK,30.76,OK,9.59,OK,16.96,49.4,1.415,1.7,216.4,0.881,0.0,807.628,,2023,11,3,22,0
38.63,OK,10.19,OK,2.32,OK,0.47,OK,18.32,OK,22.6,OK,21.13,71.14,2.179,2.97,66.26,20.59,0.0,804.282,361.1,2023,8,29,15,8
54.56,OK,0.68,OK,0.2,BDL,0.33,OK,31.83,OK,21.35,OK,22.61,28.35,3.364,3.953,284.3,13.4,0.0,807.116,,2024,4,23,22,16
48.31,OK,1.94,OK,0.2,BDL,0.21,OK,22.0,OK,20.75,OK,24.62,48.67,1.145,2.703,125.8,39.66,0.0,803.457,151.6,2023,6,28,14,49
33.63,OK,2.99,OK,0.2,BDL,0.42,OK,61.45,OK,56.78,OK,16.11,51.56,0.236,0.42,273.8,0.026,0.0,803.516,,2023,6,3,4,4
48.85,OK,1.37,OK,0.2,BDL,0.23,OK,31.34,OK,27.52,OK,20.5,55.22,1.654,2.161,297.2,32.95,0.0,804.552,,2023,5,11,23,8
17.58,OK,6.57,OK,0.2,BDL,0.76,OK,2.0,BDL,2.0,BDL,10.45,85.9,1.956,2.14,121.7,5.385,0.0,803.596,44.12,2024,2,17,8,15
17.74,OK,0.5,OK,0.2,BDL,0.16,OK,2.0,BDL,15.99,OR,17.55,75.0,3.202,3.881,180.3,11.75,0.0,800.629,14.1,2023,10,11,18,9
4.81,OK,5.34,OK,0.81,OK,0.32,OK,2.0,BDL,2.0,BDL,14.92,98.2,0.0,0.0,0.0,0.0,0.0,802.248,22.03,2023,10,10,6,55
25.85,OK,0.58,OK,0.2,BDL,0.22,OK,13.17,OK,7.8,OK,22.83,54.6,4.598,6.062,187.9,16.13,0.0,802.275,269.2,2023,10,22,16,14
39.12,OK,1.56,OK,0.2,BDL,0.31,OK,20.88,OK,18.44,OK,22.26,33.03,4.779,6.042,148.2,15.21,0.0,804.563,,2024,3,10,19,42
48.58,OK,2.91,OK,0.5,OK,0.19,OK,7.86,OK,10.54,OK,25.18,43.31,3.052,4.813,126.8,15.04,0.0,803.812,993.0,2023,8,24,15,2
7.26,OK,8.67,OK,1.77,OK,0.45,OK,9.82,OK,20.16,OK,15.69,97.5,0.0,0.0,0.0,0.0,0.0,805.676,41.62,2023,10,6,7,17
20.75,OK,10.45,OK,0.76,OK,0.41,OK,46.94,OK,28.46,OK,10.51,59.64,0.0,0.0,0.0,0.0,0.0,806.764,30.1,2024,3,13,7,14
35.25,OK,9.72,OK,0.2,BDL,0.6,OK,36.64,OK,2.0,BDL,17.71,43.34,2.459,3.144,151.2,11.2,0.0,807.22,,2024,2,14,19,1
24.23,OK,4.01,OK,0.2,BDL,0.45,OK,38.83,OK,31.26,OK,15.46,65.38,0.0,0.0,0.0,0.0,0.0,808.94,,2024,4,13,4,38
28.52,OK,3.2,OK,0.2,BDL,0.23,OK,13.61,OK,14.28,OK,14.01,87.0,0.804,1.321,247.2,10.64,0.0,806.125,,2023,10,8,4,19
27.87,OK,7.5,OK,0.2,BDL,0.31,OK,28.66,OK,21.89,OK,19.62,75.34,0.0,0.0,0.0,0.0,0.0,805.299,,2023,11,8,20,13
27.8,OK,4.09,OK,0.2,BDL,0.42,OK,46.1,OK,37.62,OK,17.75,52.51,0.0,0.0,0.0,0.0,0.0,806.215,,2023,5,9,1,40
25.71,OK,5.74,OK,0.2,BDL,0.33,OK,48.58,OK,36.52,OK,16.01,47.71,0.0,0.0,0.0,0.0,0.0,802.907,,2023,6,4,4,16
15.13,OK,6.11,OK,0.2,BDL,0.07,OK,20.25,OK,15.63,OK,15.63,90.1,0.0,0.0,0.0,0.0,0.0,807.402,,2023,7,17,5,2
29.56,OK,1.36,OK,0.2,BDL,0.22,OK,9.3,OK,14.31,OK,25.4,55.1,4.649,5.315,178.4,11.16,0.0,806.505,513.4,2023,8,7,17,5
28.76,OK,4.72,OK,1.72,OK,0.32,OK,24.86,OK,15.99,OR,18.16,79.68,1.444,1.843,129.5,16.59,0.0,807.832,502.0,2023,8,19,9,59
29.09,OK,9.37,OK,4.57,OK,0.48,OK,14.79,OK,14.33,OK,14.33,70.48,2.529,3.072,58.32,9.87,0.0,806.175,824.0,2023,12,12,13,59
35.14,OK,2.7,OK,0.2,BDL,0.36,OK,24.23,OK,14.97,OK,16.67,41.47,0.688,0.809,257.0,2.888,0.0,804.75,,2024,4,8,3,45
52.09,OK,1.41,OK,0.2,BDL,0.16,OK,7.54,OK,7.26,OK,24.93,34.73,3.277,4.792,193.3,21.1,0.0,805.968,928.0,2023,9,26,14,4
24.59,OK,7.55,OK,0.2,BDL,0.49,OK,44.27,OK,37.66,OK,14.83,92.5,2.652,3.215,237.6,3.836,0.1,805.03,,2023,12,15,19,10
26.46,OK,5.22,OK,0.77,OK,0.33,OK,17.5,OK,18.41,OK,16.32,88.3,0.848,0.983,308.7,3.37,0.0,808.274,130.7,2023,9,17,8,12
