O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
30.26,OK,5.67,OK,0.2,BDL,0.41,OK,39.78,OK,43.58,OK,18.03,72.08,0.0,0.0,0.0,0.0,0.0,805.862,,2023,5,23,5,52
17.89,OK,1.97,OK,0.2,BDL,0.33,OK,22.22,OK,14.85,OK,6.686,91.3,0.012,0.072,133.8,0.0,0.0,807.997,,2024,1,1,3,35
27.03,OK,3.81,OK,0.2,BDL,0.42,OK,43.04,OK,36.46,OK,18.49,46.66,0.002,0.01,30.32,0.0,0.0,805.505,,2024,4,20,3,39
50.79,OK,1.23,OK,0.2,BDL,0.33,OK,36.9,OK,26.06,OK,23.37,32.83,4.862,5.376,312.4,19.75,0.0,805.388,,2024,4,19,21,27
28.5,OK,2.04,OK,0.2,BDL,0.22,OK,22.54,OK,12.41,OK,24.06,51.02,2.42,2.796,199.5,13.02,0.0,802.343,385.1,2023,10,13,15,54
40.9,OK,2.3,OK,0.2,BDL,0.15,OK,19.58,OK,11.73,OK,24.55,14.9,6.106,7.956,273.8,9.67,0.0,804.465,1118.0,2024,4,4,11,54
44.84,OK,3.15,OK,0.2,BDL,0.25,OK,51.04,OK,22.66,OK,21.42,40.04,4.181,5.202,199.9,10.31,0.0,804.511,,2023,5,18,19,49
67.66,OK,0.97,OK,0.2,BDL,0.41,OK,49.77,OK,30.24,OK,28.62,23.75,5.335,6.052,295.8,13.18,0.0,803.284,778.2,2024,4,25,15,54
50.59,OK,0.9,OK,0.2,BDL,0.33,OK,35.12,OK,16.39,OK,22.68,21.22,2.611,3.0,204.6,14.07,0.0,803.887,,2024,4,27,20,49
20.65,OK,7.2,OK,0.2,BDL,0.37,OK,21.88,OK,9.08,OK,13.71,72.98,1.584,1.71,126.3,2.018,0.0,806.859,,2024,1,23,0,47
20.05,OK,5.57,OK,0.2,BDL,0.18,OK,9.98,OK,4.04,OK,11.18,82.4,1.691,1.987,157.2,11.05,0.0,806.696,,2023,10,17,3,5
45.3,OK,1.24,OK,0.2,BDL,0.26,OK,32.29,OK,24.56,OK,26.34,39.42,2.255,3.133,207.8,10.16,0.0,803.655,,2023,6,10,19,36
53.89,OK,1.44,OK,0.2,BDL,0.16,OK,19.8,OK,21.48,OK,25.57,23.83,2.104,3.072,199.0,19.08,0.0,805.084,1117.0,2023,5,11,11,30
35.85,OK,1.91,OK,0.2,BDL,0.33,OK,16.92,OK,19.43,OK,24.5,54.3,2.4,3.318,209.1,6.25,0.0,807.655,310.1,2023,8,1,14,18
23.6,OK,1.62,OK,0.2,BDL,0.21,OK,8.99,OK,6.85,OK,20.95,69.96,0.215,0.348,284.0,0.837,0.0,803.965,,2023,10,13,19,22
34.7,OK,7.02,OK,0.2,BDL,0.44,OK,35.56,OK,14.24,OK,18.75,32.23,1.69,2.263,219.8,11.33,0.0,809.179,,2024,1,28,20,49
30.88,OK,3.78,OK,0.2,BDL,0.33,OK,7.78,OK,8.52,OK,11.21,84.6,0.0,0.0,0.0,0.0,0.0,805.458,,2023,11,17,1,39
44.94,OK,2.21,OK,0.2,BDL,0.23,OK,30.32,OK,17.9,OK,24.62,52.98,1.399,1.505,268.7,7.694,0.0,804.829,209.3,2023,8,11,16,35
7.97,OK,5.73,OK,0.2,BDL,0.43,OK,18.09,OK,28.21,OK,15.82,85.8,0.0,0.0,0.0,0.0,0.0,805.247,,2023,10,14,0,48
43.92,OK,3.19,OK,0.74,OK,0.26,OK,12.39,OK,2.0,BDL,22.17,55.51,0.036,0.215,106.4,0.008,0.0,809.696,920.0,2023,8,8,10,41
34.61,OK,3.81,OK,0.5,OK,0.42,OK,33.02,OK,21.97,OK,20.64,69.49,1.645,2.324,6.062,19.6,0.0,806.152,608.6,2023,6,7,9,10
4.42,OK,8.84,OK,0.2,BDL,0.57,OK,18.5,OK,15.71,OK,14.25,94.6,0.007,0.041,71.22,0.0,0.0,805.553,,2023,11,11,4,54
23.49,OK,16.92,OK,0.2,BDL,0.57,OK,40.53,OK,26.12,OK,18.23,66.16,1.853,2.028,123.2,2.296,0.0,806.322,,2023,11,13,19,49
16.44,OK,2.19,OK,0.2,BDL,0.27,OK,13.79,OK,13.16,OK,16.73,85.9,2.734,3.205,311.4,12.67,0.0,806.791,,2023,10,20,23,33
60.02,OK,5.2,OK,0.82,OK,0.33,OK,31.66,OK,21.11,OK,22.05,34.21,3.476,4.485,178.6,9.02,0.0,806.703,877.0,2023,11,17,11,24
64.7,OK,4.42,OK,0.4,OK,0.11,OK,36.78,OK,25.37,OK,22.74,54.63,1.213,2.796,320.3,10.25,0.0,808.148,728.8,2023,7,16,11,44
34.13,OK,2.03,OK,0.2,BDL,0.47,OK,45.17,OK,44.26,OK,12.62,47.78,0.0,0.0,0.0,0.0,0.0,804.047,,2023,5,3,4,46
35.2,OK,3.52,OK,0.2,BDL,0.31,OK,32.71,OK,26.02,OK,21.7,56.45,0.0,0.0,0.0,0.0,0.0,805.493,,2023,6,22,23,4
