O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
45.73,OK,2.85,OK,0.4,OK,0.34,OK,11.52,OK,14.43,OK,16.71,45.99,1.76,2.028,2.129,11.69,0.0,809.141,848.0,2024,1,1,11,49
14.45,OK,5.18,OK,0.2,BDL,0.48,OK,14.78,OK,13.24,OK,5.814,91.7,0.0,0.0,0.0,0.0,0.0,808.238,,2024,1,1,4,13
24.73,OK,2.22,OK,0.56,OK,0.43,OK,19.66,OK,24.14,OK,11.19,69.04,0.087,0.266,179.7,0.366,0.0,810.073,487.4,2024,1,1,9,34
30.24,OK,2.92,OK,0.2,BDL,0.3,OK,17.96,OK,11.72,OK,12.18,68.45,0.186,0.522,26.46,0.016,0.0,808.689,,2024,1,1,23,15
40.77,OK,1.21,OK,0.2,BDL,0.25,OK,7.97,OK,7.6,OK,20.67,35.89,3.78,3.983,253.7,15.29,0.0,806.339,185.2,2024,1,1,16,7
41.06,OK,1.27,OK,0.2,BDL,0.25,OK,15.76,OK,7.65,OK,19.09,41.37,2.604,3.594,181.5,16.83,0.0,806.342,66.56,2024,1,1,17,34
13.31,OK,2.29,OK,0.2,BDL,0.36,OK,18.64,OK,16.31,OK,4.872,90.4,0.019,0.092,275.1,0.163,0.0,809.372,20.98,2024,1,1,7,42
17.56,OK,1.67,OK,0.2,BDL,0.38,OK,19.73,OK,20.68,OK,4.94,93.6,0.0,0.0,0.0,0.0,0.0,808.926,,2024,1,1,6,55
23.85,OK,10.1,OK,0.2,BDL,0.37,OK,17.23,OK,12.51,OK,13.7,60.75,0.0,0.0,0.0,0.0,0.0,807.927,,2024,1,1,20,54
15.35,OK,3.43,OK,0.2,BDL,0.39,OK,16.87,OK,18.3,OK,5.879,92.1,0.734,0.778,104.9,1.153,0.0,808.11,,2024,1,1,4,35
33.8,OK,1.19,OK,0.2,BDL,0.3,OK,17.91,OK,14.52,OK,16.1,50.68,3.835,4.188,134.6,10.22,0.0,806.193,,2024,1,2,19,15
