Fecha,RelativeHumidity
2018-03-02,48.0
2018-03-03,47.625
2018-03-04,50.875
2018-03-05,49.458333333333336
2018-03-06,44.958333333333336
2018-03-07,41.083333333333336
2018-03-08,39.875
2018-03-09,37.458333333333336
2018-03-10,36.541666666666664
2018-03-11,34.583333333333336
2018-03-12,36.5
2018-03-13,36.625
2018-03-14,38.125
2018-03-15,42.041666666666664
2018-03-16,35.833333333333336
2018-03-17,33.25
2018-03-18,27.0
2018-03-19,24.875
2018-03-20,26.083333333333332
2018-03-21,36.0
2018-03-22,36.916666666666664
2018-03-23,40.708333333333336
2018-03-24,42.666666666666664
2018-03-25,39.958333333333336
2018-03-26,36.5
2018-03-27,33.958333333333336
2018-03-28,35.833333333333336
2018-03-29,34.625
2018-03-30,33.458333333333336
2018-03-31,29.708333333333332
2018-04-01,38.625
2018-04-02,40.208333333333336
2018-04-03,33.166666666666664
2018-04-04,27.0
2018-04-05,35.333333333333336
2018-04-06,36.916666666666664
2018-04-07,28.958333333333332
2018-04-08,25.625
2018-04-09,25.333333333333332
2018-04-10,32.375
2018-04-11,61.208333333333336
2018-04-12,59.208333333333336
2018-04-13,48.0
2018-04-14,35.0
2018-04-15,33.125
2018-04-16,37.291666666666664
2018-04-17,33.583333333333336
2018-04-18,32.111111111111114
2018-04-19,31.0
2018-04-20,45.833333333333336
2018-04-21,44.375
2018-04-22,46.333333333333336
2018-04-23,51.291666666666664
2018-04-24,50.416666666666664
2018-04-25,46.375
2018-04-26,34.5
2018-04-27,28.625
2018-04-28,28.75
2018-04-29,30.041666666666668
2018-04-30,47.958333333333336
2018-05-01,57.25
2018-05-02,48.666666666666664
2018-05-03,53.375
2018-05-04,57.458333333333336
2018-05-05,61.416666666666664
2018-05-06,64.125
2018-05-07,57.291666666666664
2018-05-08,65.70833333333333
2018-05-09,60.416666666666664
2018-05-10,56.125
2018-05-11,64.75
2018-05-12,60.416666666666664
2018-05-13,58.875
2018-05-14,62.083333333333336
2018-05-15,57.541666666666664
2018-05-16,55.0
2018-05-17,52.583333333333336
2018-05-18,51.583333333333336
2018-05-19,45.166666666666664
2018-05-20,48.708333333333336
2018-05-21,54.125
2018-05-22,54.333333333333336
2018-05-23,55.666666666666664
2018-05-24,54.083333333333336
2018-05-25,49.5
2018-05-26,38.958333333333336
2018-05-27,35.625
2018-05-28,33.833333333333336
2018-05-29,39.625
2018-05-30,37.166666666666664
2018-05-31,43.083333333333336
2018-06-01,41.333333333333336
2018-06-02,38.291666666666664
2018-06-03,44.166666666666664
2018-06-04,44.916666666666664
2018-06-05,55.25
2018-06-06,53.458333333333336
2018-06-07,52.916666666666664
2018-06-08,58.416666666666664
2018-06-09,65.58333333333333
2018-06-10,62.5
2018-06-11,66.95833333333333
2018-06-12,70.70833333333333
2018-06-13,76.625
2018-06-14,74.08333333333333
2018-06-15,75.79166666666667
2018-06-16,71.95833333333333
2018-06-17,70.83333333333333
2018-06-18,80.79166666666667
2018-06-19,79.75
2018-06-20,68.83333333333333
2018-06-21,65.33333333333333
2018-06-22,58.958333333333336
2018-06-23,65.04166666666667
2018-06-24,68.0
2018-06-25,73.375
2018-06-26,73.20833333333333
2018-06-27,67.29166666666667
2018-06-28,69.20833333333333
2018-06-29,67.375
2018-06-30,65.58333333333333
2018-07-01,65.5
2018-07-02,62.666666666666664
2018-07-03,62.5
2018-07-04,57.541666666666664
2018-07-05,56.958333333333336
2018-07-06,61.333333333333336
2018-07-07,62.125
2018-07-08,73.5
2018-07-09,67.0
2018-07-10,75.95833333333333
2018-07-11,76.33333333333333
2018-07-12,65.16666666666667
2018-07-13,66.91666666666667
2018-07-14,71.33333333333333
2018-07-15,64.66666666666667
2018-07-16,64.58333333333333
2018-07-17,63.833333333333336
2018-07-18,62.916666666666664
2018-07-19,60.875
2018-07-20,59.041666666666664
2018-07-21,61.625
2018-07-22,59.458333333333336
2018-07-23,62.958333333333336
2018-07-24,61.5
2018-07-25,60.916666666666664
2018-07-26,58.833333333333336
2018-07-27,61.958333333333336
2018-07-28,61.625
2018-07-29,61.25
2018-07-30,60.416666666666664
2018-07-31,62.25
2018-08-01,60.916666666666664
2018-08-02,57.083333333333336
2018-08-03,62.0
2018-08-04,68.58333333333333
2018-08-05,69.29166666666667
2018-08-06,72.70833333333333
2018-08-07,68.58333333333333
2018-08-08,63.708333333333336
2018-08-09,71.91666666666667
2018-08-10,72.83333333333333
2018-08-11,69.58333333333333
2018-08-12,78.20833333333333
2018-08-13,74.83333333333333
2018-08-14,67.54166666666667
2018-08-15,69.04166666666667
2018-08-16,68.79166666666667
2018-08-17,67.20833333333333
2018-08-18,64.95833333333333
2018-08-19,63.166666666666664
2018-08-20,64.95833333333333
2018-08-21,73.45833333333333
2018-08-22,68.66666666666667
2018-08-23,71.54166666666667
2018-08-24,69.70833333333333
2018-08-25,69.95833333333333
2018-08-26,70.83333333333333
2018-08-27,69.91666666666667
2018-08-28,69.83333333333333
2018-08-29,71.29166666666667
2018-08-30,73.08333333333333
2018-08-31,71.875
2018-09-01,69.66666666666667
2018-09-02,67.0
2018-09-03,68.0
2018-09-04,69.25
2018-09-05,71.58333333333333
2018-09-06,69.70833333333333
2018-09-07,66.04166666666667
2018-09-08,67.70833333333333
2018-09-09,65.91666666666667
2018-09-10,66.58333333333333
2018-09-11,65.79166666666667
2018-09-12,69.0
2018-09-13,76.625
2018-09-14,70.91666666666667
2018-09-15,62.333333333333336
2018-09-16,66.66666666666667
2018-09-17,74.95833333333333
2018-09-18,71.58333333333333
2018-09-19,69.0
